developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,0,1,1,0,0,590
1,0,1,1,0,0,749
2,0,2,2,0,2,4888
3,0,0,3,0,0,149
4,0,0,0,0,1,41
5,0,0,2,0,1,1020
6,0,0,0,0,2,3957
7,0,0,1,0,1,2434
8,0,0,0,0,72,683
9,0,0,2,0,10,880
10,0,1,1,0,0,921
11,0,0,1,0,21,1775
12,0,0,1,0,0,1
13,0,0,0,0,9,4537
14,0,1,1,0,0,0
15,0,0,1,0,0,16
16,0,1,2,0,0,11
17,0,0,0,0,2,5427
18,0,1,1,0,0,0
19,0,0,1,0,0,1
20,0,0,2,0,0,2
21,0,0,1,0,0,0
22,0,0,11,0,0,0
23,0,0,1,0,0,0
24,0,0,2,0,0,2
25,0,0,1,0,0,17
26,0,1,1,0,0,0
27,0,0,1,0,0,0
28,0,0,2,0,0,16
29,0,0,1,0,0,1
30,0,0,1,0,0,1
31,0,0,1,0,0,1
32,0,0,2,0,0,1
33,0,3,4,0,0,1
34,0,0,1,0,0,1
35,0,0,1,0,0,1
36,0,1,1,0,0,0
37,0,0,1,0,0,1
38,0,1,1,0,0,0
39,0,0,2,0,0,0
40,0,0,1,0,0,1
41,0,0,1,0,0,1
42,0,1,3,0,0,2
43,0,0,1,0,0,0
44,0,0,1,0,0,2
45,0,0,1,0,0,1
46,0,0,1,0,0,3
47,0,0,1,0,0,1
48,0,0,1,0,0,0
49,0,2,3,0,0,54
50,0,0,2,0,0,2
51,0,0,1,0,0,1
52,0,0,4,0,0,4
53,0,0,1,0,0,1
54,0,0,1,0,0,1
55,0,0,1,0,0,1
56,0,0,1,0,0,0
57,0,2,3,0,0,0
58,0,2,2,0,0,0
59,0,0,1,0,0,1
60,0,0,1,0,0,1
61,0,1,2,0,0,0
62,0,0,1,0,0,1
63,0,0,2,0,0,0
64,0,0,1,0,0,1
65,0,1,3,0,0,0
66,0,1,2,0,0,0
67,0,0,1,0,0,2
68,0,0,0,0,1,47
69,0,0,4,0,0,0
70,0,0,1,0,3,8420
71,0,0,2,0,0,2
72,0,0,0,0,10,207
73,0,1,2,0,0,0
74,0,0,1,0,0,1
75,0,0,1,0,0,0
76,0,0,1,0,0,1
77,0,0,0,0,1,7401
78,0,0,1,0,0,1
79,0,1,1,0,0,0
80,0,0,1,0,0,3
81,0,0,1,0,0,0
82,0,0,1,0,0,1
83,0,0,1,0,0,0
84,0,1,1,0,0,0
85,0,0,1,0,0,1
86,0,0,1,0,0,1
87,0,0,1,0,0,1
88,0,0,0,0,3,130
89,0,1,1,0,0,0
90,0,3,6,0,0,5
91,0,1,1,0,0,0
