developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,46,119,32,0,50,1717
1,9,5,8,0,2,36
2,0,1,0,0,0,1
3,16,4,7,0,0,15
4,53,42,44,0,47,6241
5,70,210,58,0,61,9239
6,2,0,0,0,0,0
7,13,4,1,0,0,0
8,22,3,1,0,0,1
9,39,8,4,0,0,486
10,12,5,8,0,1,21
11,18,8,21,0,15,312
12,18,46,13,0,12,468
13,12,14,16,0,14,157
14,6,0,0,0,0,0
15,21,14,19,0,9,204
16,6,1,0,0,0,0
17,2,1,0,0,0,3
18,0,2,0,0,0,2211
19,10,1,0,0,0,176
20,5,20,11,0,7,694
21,13,20,15,0,0,18
22,1,0,2,0,0,9
23,5,3,3,0,0,6
24,5,1,0,0,0,1
25,8,0,0,0,0,0
26,7,1,0,0,0,0
27,12,0,0,0,0,0
28,0,3,0,0,0,317
29,1,1,0,0,0,0
30,1,1,0,0,0,137
31,7,1,0,0,0,0
32,3,0,0,0,0,0
33,8,0,0,0,0,0
34,1,0,0,0,0,0
35,16,10,1,0,0,13
36,1,0,0,0,0,77
37,1,1,1,0,0,1
38,2,0,0,0,0,4
39,1,0,0,0,0,7
40,3,0,2,0,0,2
41,2,1,0,0,0,0
42,1,0,0,0,0,0
43,3,1,0,0,0,0
44,1,0,0,0,0,0
45,1,1,1,0,1,460
46,10,12,18,0,12,2273
47,1,0,0,0,0,0
48,0,1,0,0,0,102
49,1,0,0,0,0,0
50,5,0,0,0,0,0
51,2,0,0,0,0,0
52,2,1,0,0,0,0
53,7,1,0,0,0,0
54,1,0,0,0,0,0
55,1,0,0,0,0,0
56,1,0,0,0,0,0
57,1,0,0,0,0,0
58,1,1,0,0,0,0
59,0,0,1,0,0,1
60,0,1,2,0,0,2
61,0,0,0,0,0,997
62,0,0,0,0,0,14
63,0,0,0,0,0,78
64,0,0,0,0,0,2
65,0,0,0,0,0,3
66,0,0,0,0,0,25
67,0,0,0,0,0,272
68,0,0,0,0,0,135
69,0,0,0,0,0,2
70,0,0,0,0,0,2
71,0,0,0,0,0,3
72,0,0,0,0,0,1
73,0,0,0,0,0,1041
74,0,0,0,0,0,2
75,0,0,0,0,0,1
