developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,25,30,23,0,23,1120
1,6,1,3,0,0,2
2,1,1,1,0,0,7
3,0,12,0,0,0,2
4,0,12,2,0,1,237
5,4,13,11,0,27,533
6,1,0,0,0,0,0
7,6,8,7,0,0,29
8,6,2,0,0,0,0
9,2,0,0,0,0,0
10,1,0,8,0,0,31
11,2,0,0,0,0,0
12,2,0,0,0,0,0
13,1,0,0,0,0,0
14,1,0,0,0,0,0
15,0,14,20,0,9,1977
16,1,1,3,0,0,6
17,1,0,0,0,0,0
18,1,0,0,0,0,0
19,1,0,0,0,0,0
20,1,0,0,0,0,0
21,1,0,0,0,0,0
22,1,1,0,0,0,0
23,1,0,0,0,0,0
24,1,0,0,0,0,0
25,2,3,1,0,0,1
26,1,0,0,0,0,0
27,1,1,1,0,0,0
28,1,1,0,0,0,0
29,1,1,0,0,0,0
30,2,0,1,0,0,0
31,1,0,0,0,0,0
32,1,0,0,0,0,0
33,1,0,0,0,0,0
34,1,2,1,0,0,1
35,1,0,0,0,0,0
36,1,0,0,0,0,0
37,1,0,0,0,0,0
38,1,13,36,0,2,648
39,1,0,0,0,0,0
40,4,0,0,0,0,0
41,1,0,0,0,0,0
42,2,0,0,0,0,0
43,1,0,0,0,0,2
44,0,0,2,0,0,2
45,0,0,1,0,0,0
46,0,2,3,0,0,8
47,0,1,1,0,0,0
48,0,0,1,0,0,0
49,0,1,2,0,0,1
50,0,2,2,0,0,1
51,0,0,1,0,0,1
52,0,3,4,0,0,2
53,0,4,4,0,0,1
54,0,0,2,0,0,10
55,0,0,2,0,0,4
56,0,0,1,0,0,1
57,0,0,1,0,0,2
58,0,4,6,0,0,1
59,0,0,1,0,0,8
60,0,1,2,0,0,8
61,0,1,1,0,0,0
62,0,1,1,0,0,0
63,0,1,1,0,0,0
64,0,1,1,0,0,0
65,0,1,1,0,0,0
66,0,1,1,0,0,1
67,0,1,1,0,0,1
68,0,1,1,0,0,0
69,0,1,1,0,0,0
70,0,0,0,0,0,26
71,0,0,0,0,0,245
72,0,0,0,0,0,26
73,0,0,0,0,0,8
74,0,0,0,0,0,1
75,0,0,0,0,0,2
76,0,0,0,0,0,4
77,0,0,0,0,0,1
78,0,0,0,0,0,19
79,0,0,0,0,0,3
80,0,0,0,0,0,1
81,0,0,0,0,0,455
82,0,0,0,0,0,1
83,0,0,0,0,0,1
84,0,0,0,0,0,6905
85,0,0,0,0,0,1
86,0,0,0,0,0,1
87,0,0,0,0,0,1
88,0,0,0,0,0,1
89,0,0,0,0,0,1
90,0,0,0,0,0,1
91,0,0,0,0,0,1
92,0,0,0,0,0,1
93,0,0,0,0,0,1
94,0,0,0,0,0,1
95,0,0,0,0,0,1
96,0,0,0,0,0,5
97,0,0,0,0,0,2
98,0,0,0,0,0,10
99,0,0,0,0,0,1
100,0,0,0,0,0,1
101,0,0,0,0,0,1
102,0,0,0,0,0,34
103,0,0,0,0,0,2
104,0,0,0,0,0,2
105,0,0,0,0,0,1
106,0,0,0,0,0,4
107,0,0,0,0,0,2
