developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,28,40,67,0,63,303
1,7,33,79,0,95,453
2,2,0,7,0,4,475
3,2,0,0,0,0,0
4,1,0,0,0,0,0
5,3,1,12,0,12,12
6,3,0,3,0,2,72
7,3,3,24,0,21,23
8,1,0,0,0,0,0
9,2,0,0,0,0,0
10,3,3,2,0,0,0
11,1,0,0,0,0,0
12,1,0,0,0,0,0
13,2,1,9,0,7,50
14,1,0,0,0,0,0
15,2,1,0,0,0,0
16,4,3,9,0,7,8
17,2,1,0,0,0,0
18,1,0,0,0,0,0
19,1,0,0,0,0,0
20,1,0,0,0,0,0
21,1,0,0,0,0,0
22,1,0,0,0,0,0
23,1,0,1,0,0,1
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,3,2,6,0,2,5
27,2,0,3,0,0,2
28,1,0,0,0,0,0
29,0,0,2,0,1,11
30,0,0,1,0,0,1
31,0,0,12,0,12,136
32,0,0,2,0,1,24
33,0,1,8,0,3,280
34,0,1,8,0,5,29
35,0,0,1,0,0,1
36,0,0,1,0,0,1
37,0,0,0,0,0,52
38,0,0,0,0,0,98
39,0,0,0,0,0,216
40,0,0,0,0,0,10
41,0,0,0,0,0,1
42,0,0,0,0,0,8
43,0,0,0,0,0,38
44,0,0,0,0,0,26
45,0,0,0,0,0,124
46,0,0,0,0,0,85
47,0,0,0,0,0,56
48,0,0,0,0,0,31
49,0,0,0,0,0,48
50,0,0,0,0,0,20
51,0,0,0,0,0,11
52,0,0,0,0,0,3
53,0,0,0,0,0,69
54,0,0,0,0,0,7
55,0,0,0,0,0,1
56,0,0,0,0,0,2
57,0,0,0,0,0,245
58,0,0,0,0,0,1
59,0,0,0,0,0,1
60,0,0,0,0,0,23
61,0,0,0,0,0,58
62,0,0,0,0,0,2
63,0,0,0,0,0,1
64,0,0,0,0,0,5
65,0,0,0,0,0,3
66,0,0,0,0,0,7
67,0,0,0,0,0,12
