developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,1,0,0,0,0,0
1,2,2,0,0,0,8
2,1,1,0,0,0,0
3,1,0,0,0,0,9
4,0,3,0,0,0,200
5,1,0,0,0,0,2
6,6,37,0,0,0,108
7,1,0,0,0,0,0
8,1,5,0,0,0,29
9,1,0,0,0,0,1
10,1,0,0,0,0,0
11,1,0,0,0,0,0
12,0,7,0,0,0,4
13,1,0,0,0,0,0
14,19,1,0,0,0,0
15,1,0,0,0,0,1
16,1,0,0,0,0,0
17,1,0,0,0,0,0
18,1,0,0,0,0,0
19,1,0,0,0,0,0
20,1,0,0,0,0,0
21,1,0,0,0,0,0
22,1,0,0,0,0,0
23,1,0,0,0,0,0
24,1,0,0,0,0,14
25,1,0,0,0,0,0
26,1,0,0,0,0,0
27,5,2,0,0,0,8
28,1,0,0,0,0,0
29,1,0,0,0,0,1
30,1,7,0,0,0,29
31,1,0,0,0,0,0
32,2,0,0,0,0,0
33,1,0,0,0,0,0
34,1,0,0,0,0,0
35,1,0,0,0,0,1
36,0,1,0,0,0,126
37,1,0,0,0,0,0
38,1,0,0,0,0,0
39,1,0,0,0,0,0
40,1,1,0,0,0,0
41,1,0,0,0,0,0
42,0,0,0,0,0,1
43,0,0,0,0,0,1
44,0,0,0,0,0,2
45,0,0,0,0,0,1
46,0,0,0,0,0,1
47,0,0,0,0,0,13
48,0,0,0,0,0,24
49,0,0,0,0,0,2
50,0,0,0,0,0,3
51,0,0,0,0,0,1
52,0,0,0,0,0,1
53,0,0,0,0,0,16
54,0,0,0,0,0,1
55,0,0,0,0,0,1
56,0,0,0,0,0,2
57,0,0,0,0,0,1
58,0,0,0,0,0,1
59,0,0,0,0,0,13
60,0,0,0,0,0,5
61,0,0,0,0,0,32
62,0,0,0,0,0,16
63,0,0,0,0,0,2
