developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,41,4,4,0,1,1
1,29,155,51,0,58,8501
2,41,4,0,0,1,2998
3,17,3,0,0,0,1
4,2,0,0,0,0,0
5,20,3,1,0,0,1
6,11,3,6,0,3,0
7,1,0,0,0,0,1
8,5,3,1,0,1,5
9,1,0,0,0,0,0
10,1,0,0,0,0,0
11,2,0,0,0,0,6
12,1,0,0,0,0,0
13,1,1,0,0,0,0
14,4,1,0,0,0,0
15,1,1,0,0,0,0
16,0,1,0,0,0,1139
17,1,0,0,0,0,0
18,0,0,1,0,0,1
19,0,0,1,0,0,1
20,0,1,1,0,0,0
21,0,0,0,0,0,280
22,0,0,0,0,0,253
23,0,0,0,0,0,19
24,0,0,0,0,0,39
25,0,0,0,0,0,2
26,0,0,0,0,0,2
27,0,0,0,0,0,1
28,0,0,0,0,0,2
29,0,0,0,0,0,1
30,0,0,0,0,0,1
31,0,0,0,0,0,2
32,0,0,0,0,0,1
33,0,0,0,0,0,2
34,0,0,0,0,0,1
35,0,0,0,0,0,3
36,0,0,0,0,0,1
37,0,0,0,0,0,1
38,0,0,0,0,0,5
39,0,0,0,0,0,3
40,0,0,0,0,0,1
41,0,0,0,0,0,1
42,0,0,0,0,0,1
43,0,0,0,0,0,1
44,0,0,0,0,0,1
45,0,0,0,0,0,1
46,0,0,0,0,0,3
47,0,0,0,0,0,1
48,0,0,0,0,0,2
49,0,0,0,0,0,293
50,0,0,0,0,0,1
51,0,0,0,0,0,1
52,0,0,0,0,0,2
53,0,0,0,0,0,1
54,0,0,0,0,0,3
55,0,0,0,0,0,267
56,0,0,0,0,0,1
57,0,0,0,0,0,3
58,0,0,0,0,0,4
59,0,0,0,0,0,2
60,0,0,0,0,0,2
61,0,0,0,0,0,6
62,0,0,0,0,0,1
63,0,0,0,0,0,2
64,0,0,0,0,0,1
65,0,0,0,0,0,1
66,0,0,0,0,0,12
67,0,0,0,0,0,1
68,0,0,0,0,0,4
69,0,0,0,0,0,1
70,0,0,0,0,0,3
71,0,0,0,0,0,1
72,0,0,0,0,0,47
73,0,0,0,0,0,68
74,0,0,0,0,0,2
75,0,0,0,0,0,1
76,0,0,0,0,0,4
77,0,0,0,0,0,13
78,0,0,0,0,0,2
79,0,0,0,0,0,1
80,0,0,0,0,0,3
81,0,0,0,0,0,22
82,0,0,0,0,0,1
83,0,0,0,0,0,4
84,0,0,0,0,0,1
85,0,0,0,0,0,1
86,0,0,0,0,0,1
87,0,0,0,0,0,1
88,0,0,0,0,0,1
89,0,0,0,0,0,648
90,0,0,0,0,0,1
91,0,0,0,0,0,4
92,0,0,0,0,0,3
93,0,0,0,0,0,1
94,0,0,0,0,0,5
95,0,0,0,0,0,1
96,0,0,0,0,0,6
97,0,0,0,0,0,1
98,0,0,0,0,0,6
99,0,0,0,0,0,1
100,0,0,0,0,0,1
101,0,0,0,0,0,82
102,0,0,0,0,0,1
103,0,0,0,0,0,2
104,0,0,0,0,0,1
105,0,0,0,0,0,3
106,0,0,0,0,0,1
107,0,0,0,0,0,2
108,0,0,0,0,0,1
109,0,0,0,0,0,2
110,0,0,0,0,0,1
111,0,0,0,0,0,1
112,0,0,0,0,0,1
113,0,0,0,0,0,1
114,0,0,0,0,0,1
115,0,0,0,0,0,1
116,0,0,0,0,0,6
117,0,0,0,0,0,1
118,0,0,0,0,0,3
119,0,0,0,0,0,3
120,0,0,0,0,0,5
121,0,0,0,0,0,1
122,0,0,0,0,0,4
123,0,0,0,0,0,1
124,0,0,0,0,0,2
125,0,0,0,0,0,4
126,0,0,0,0,0,1
127,0,0,0,0,0,1
128,0,0,0,0,0,1
129,0,0,0,0,0,1
130,0,0,0,0,0,1
131,0,0,0,0,0,1
132,0,0,0,0,0,1
133,0,0,0,0,0,51
134,0,0,0,0,0,7
135,0,0,0,0,0,1
136,0,0,0,0,0,1
137,0,0,0,0,0,10
