developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,1,1,1,0,0,0
1,1,11,0,0,0,144
2,2,3,0,0,0,7
3,5,22,0,0,0,119
4,6,2,0,0,0,6
5,1,0,0,0,0,6
6,1,0,0,0,0,0
7,1,0,0,0,0,0
8,1,0,0,0,0,1
9,2,14,0,0,0,9
10,1,0,0,0,0,3
11,3,0,0,0,0,2
12,1,0,0,0,0,2
13,1,0,0,0,0,1
14,1,0,0,0,0,0
15,1,0,0,0,0,1
16,1,0,0,0,0,0
17,1,0,0,0,0,1
18,1,0,0,0,0,0
19,1,1,0,0,0,33
20,1,0,0,0,0,1
21,1,0,0,0,0,0
22,3,0,0,0,0,0
23,2,1,0,0,0,0
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,0,5,0,0,0,3127
27,3,3,0,0,0,9
28,1,0,0,0,0,1
29,1,0,0,0,0,2
30,1,1,0,0,0,0
31,1,0,0,0,0,1
32,1,0,0,0,0,2
33,1,0,0,0,0,2
34,1,0,0,0,0,1
35,1,0,0,0,0,2
36,1,0,0,0,0,1
37,3,0,0,0,0,0
38,0,2,0,0,0,1
39,1,0,0,0,0,1
40,1,0,0,0,0,0
41,1,1,0,0,0,0
42,1,0,0,0,0,2
43,1,0,0,0,0,1
44,1,0,0,0,0,0
45,1,0,0,0,0,17
46,1,0,0,0,0,0
47,0,2,0,0,0,16
48,1,0,0,0,0,2
49,1,0,0,0,0,1
50,1,0,0,0,0,0
51,0,0,0,0,0,1027
52,0,0,0,0,0,1111
53,0,0,0,0,0,135
54,0,0,0,0,0,1435
55,0,0,0,0,0,7
56,0,0,0,0,0,5
57,0,0,0,0,0,32
58,0,0,0,0,0,1
59,0,0,0,0,0,26
60,0,0,0,0,0,1
61,0,0,0,0,0,1
62,0,0,0,0,0,1
63,0,0,0,0,0,7
64,0,0,0,0,0,2
65,0,0,0,0,0,1
66,0,0,0,0,0,3
67,0,0,0,0,0,1
68,0,0,0,0,0,1
69,0,0,0,0,0,1
70,0,0,0,0,0,2
71,0,0,0,0,0,1
72,0,0,0,0,0,22
73,0,0,0,0,0,6
74,0,0,0,0,0,1
75,0,0,0,0,0,1
76,0,0,0,0,0,1
77,0,0,0,0,0,1
78,0,0,0,0,0,2
79,0,0,0,0,0,1
80,0,0,0,0,0,2
81,0,0,0,0,0,1
82,0,0,0,0,0,24
83,0,0,0,0,0,17
84,0,0,0,0,0,110
85,0,0,0,0,0,1
86,0,0,0,0,0,2
87,0,0,0,0,0,1
88,0,0,0,0,0,1
89,0,0,0,0,0,5
90,0,0,0,0,0,2
91,0,0,0,0,0,7
92,0,0,0,0,0,2
93,0,0,0,0,0,1
94,0,0,0,0,0,1
95,0,0,0,0,0,1
96,0,0,0,0,0,2
97,0,0,0,0,0,1
98,0,0,0,0,0,2
99,0,0,0,0,0,1
100,0,0,0,0,0,3
101,0,0,0,0,0,1
102,0,0,0,0,0,1
103,0,0,0,0,0,1
104,0,0,0,0,0,3
105,0,0,0,0,0,1
106,0,0,0,0,0,1
107,0,0,0,0,0,1
108,0,0,0,0,0,1
109,0,0,0,0,0,1
110,0,0,0,0,0,1
111,0,0,0,0,0,1
112,0,0,0,0,0,1
113,0,0,0,0,0,1
114,0,0,0,0,0,15
115,0,0,0,0,0,1
116,0,0,0,0,0,1
117,0,0,0,0,0,4
118,0,0,0,0,0,1
119,0,0,0,0,0,1
120,0,0,0,0,0,1
121,0,0,0,0,0,1
122,0,0,0,0,0,14
123,0,0,0,0,0,7
124,0,0,0,0,0,1
125,0,0,0,0,0,2
126,0,0,0,0,0,2
127,0,0,0,0,0,2
128,0,0,0,0,0,1
129,0,0,0,0,0,1
130,0,0,0,0,0,2
131,0,0,0,0,0,1
132,0,0,0,0,0,1
133,0,0,0,0,0,22
134,0,0,0,0,0,1
135,0,0,0,0,0,2
136,0,0,0,0,0,1
137,0,0,0,0,0,11
138,0,0,0,0,0,10
139,0,0,0,0,0,1
140,0,0,0,0,0,10
141,0,0,0,0,0,3
142,0,0,0,0,0,1
143,0,0,0,0,0,1
144,0,0,0,0,0,1
