developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,1,1,1,0,0,0
1,18,48,0,0,0,115
2,12,4,0,0,0,0
3,78,261,0,0,0,433
4,1,1,0,0,0,0
5,12,1,0,0,0,0
6,1,0,0,0,0,0
7,5,0,0,0,0,68
8,29,104,0,0,0,259
9,9,72,0,0,0,39
10,77,772,0,0,0,106
11,3,0,0,0,0,4
12,6,0,0,0,0,0
13,1,1,0,0,0,0
14,7,0,0,0,0,0
15,3,0,0,0,0,47
16,7,31,0,0,0,103
17,1,1,0,0,0,0
18,7,3,0,0,0,0
19,6,0,0,0,0,0
20,4,0,0,0,0,2
21,10,5,0,0,0,12
22,5,2,0,0,0,0
23,2,0,0,0,0,0
24,1,1,0,0,0,0
25,2,0,0,0,0,0
26,2,2,0,0,0,5
27,1,0,0,0,0,3
28,287,439,0,0,0,192
29,37,140,0,0,0,476
30,8,2,0,0,0,1
31,58,27,0,0,0,1
32,1,0,0,0,0,0
33,16,75,0,0,0,54
34,2,0,0,0,0,1
35,1,0,0,0,0,0
36,18,297,0,0,0,173
37,1,0,0,0,0,0
38,1,0,0,0,0,0
39,7,40,0,0,0,170
40,2,0,0,0,0,0
41,1,0,0,0,0,0
42,4,3,0,0,0,1
43,2,1,0,0,0,11
44,7,0,0,0,0,0
45,1,0,0,0,0,1
46,1,1,0,0,0,0
47,4,4,0,0,0,11
48,2,0,0,0,0,8
49,2,1,0,0,0,3
50,0,3,0,0,0,204
51,2,0,0,0,0,0
52,10,1,0,0,0,2
53,1,0,0,0,0,0
54,1,1,0,0,0,0
55,1,0,0,0,0,0
56,1,0,0,0,0,0
57,1,0,0,0,0,0
58,4,0,0,0,0,5
59,1,0,0,0,0,0
60,1,0,0,0,0,1
61,3,0,0,0,0,2
62,1,0,0,0,0,0
63,2,0,0,0,0,0
64,1,0,0,0,0,1
65,2,1,0,0,0,0
66,6,2,0,0,0,2
67,2,0,0,0,0,0
68,2,2,0,0,0,0
69,7,0,0,0,0,0
70,3,2,0,0,0,0
71,13,0,0,0,0,4
72,1,0,0,0,0,0
73,1,0,0,0,0,0
74,1,0,0,0,0,0
75,1,1,0,0,0,0
76,3,0,0,0,0,0
77,1,0,0,0,0,0
78,2,0,0,0,0,0
79,1,0,0,0,0,2
80,1,0,0,0,0,1
81,1,0,0,0,0,0
82,1,0,0,0,0,0
83,1,0,0,0,0,0
84,15,23,0,0,0,9
85,1,0,0,0,0,2
86,4,0,0,0,0,7
87,3,1,0,0,0,10
88,7,3,0,0,0,1
89,7,4,0,0,0,3
90,1,0,0,0,0,0
91,2,0,0,0,0,1
92,1,0,0,0,0,1
93,2,0,0,0,0,1
94,3,1,0,0,0,0
95,1,0,0,0,0,0
96,3,1,0,0,0,2
97,29,0,0,0,0,0
98,1,0,0,0,0,0
99,2,2,0,0,0,2
100,8,1,0,0,0,2
101,1,0,0,0,0,0
102,1,0,0,0,0,0
103,1,0,0,0,0,0
104,1,1,0,0,0,0
105,1,1,0,0,0,0
106,11,5,0,0,0,9
107,1,0,0,0,0,2
108,1,0,0,0,0,1
109,1,0,0,0,0,0
110,1,0,0,0,0,0
111,1,0,0,0,0,0
112,1,0,0,0,0,0
113,1,1,0,0,0,0
114,1,0,0,0,0,0
115,1,0,0,0,0,1
116,1,0,0,0,0,0
117,3,1,0,0,0,0
118,3,0,0,0,0,4
119,1,0,0,0,0,1
120,2,0,0,0,0,0
121,1,0,0,0,0,0
122,1,0,0,0,0,1
123,1,0,0,0,0,0
124,3,1,0,0,0,0
125,1,0,0,0,0,0
126,1,0,0,0,0,1
127,2,0,0,0,0,0
128,4,1,0,0,0,0
129,0,1,0,0,0,10
130,1,0,0,0,0,0
131,10,1,0,0,0,10
132,4,2,0,0,0,0
133,5,2,0,0,0,1
134,1,0,0,0,0,0
135,1,1,0,0,0,0
136,1,0,0,0,0,0
137,1,0,0,0,0,0
138,3,0,0,0,0,3
139,1,0,0,0,0,0
140,1,0,0,0,0,0
141,2,1,0,0,0,0
142,9,1,0,0,0,5
143,2,2,0,0,0,0
144,1,0,0,0,0,1
145,1,0,0,0,0,0
146,4,0,0,0,0,0
147,1,0,0,0,0,1
148,2,2,0,0,0,12
149,4,1,0,0,0,0
150,2,0,0,0,0,0
151,1,0,0,0,0,0
152,13,3,0,0,0,0
153,1,1,0,0,0,0
154,1,0,0,0,0,0
155,3,0,0,0,0,0
156,1,1,0,0,0,0
157,1,0,0,0,0,0
158,3,2,0,0,0,0
159,4,2,0,0,0,0
160,0,1,0,0,0,162
161,2,1,0,0,0,1
162,1,1,0,0,0,0
163,5,2,0,0,0,4
164,1,1,0,0,0,0
165,1,0,0,0,0,1
166,2,1,0,0,0,2
167,2,0,0,0,0,0
168,1,1,0,0,0,0
169,1,0,0,0,0,0
170,2,0,0,0,0,0
171,1,0,0,0,0,0
172,1,0,0,0,0,0
173,1,1,0,0,0,0
174,7,5,0,0,0,0
175,1,0,0,0,0,0
176,3,2,0,0,0,7
177,1,0,0,0,0,0
178,1,0,0,0,0,0
179,1,0,0,0,0,0
180,1,0,0,0,0,0
181,1,0,0,0,0,0
182,2,0,0,0,0,0
183,2,2,0,0,0,0
184,2,1,0,0,0,0
185,3,0,0,0,0,0
186,1,0,0,0,0,0
187,3,0,0,0,0,0
188,1,0,0,0,0,1
189,2,0,0,0,0,0
190,1,1,0,0,0,0
191,4,1,0,0,0,1
192,2,0,0,0,0,1
193,2,0,0,0,0,0
194,3,1,0,0,0,2
195,1,0,0,0,0,0
196,2,1,0,0,0,0
197,1,0,0,0,0,0
198,1,0,0,0,0,0
199,1,1,0,0,0,0
200,1,0,0,0,0,1
201,1,0,0,0,0,1
202,2,0,0,0,0,0
203,6,2,0,0,0,1
204,2,0,0,0,0,0
205,1,0,0,0,0,0
206,1,0,0,0,0,0
207,1,0,0,0,0,0
208,1,0,0,0,0,0
209,2,1,0,0,0,0
210,1,0,0,0,0,0
211,2,1,0,0,0,0
212,2,0,0,0,0,0
213,2,1,0,0,0,0
214,1,0,0,0,0,0
215,1,1,0,0,0,0
216,2,0,0,0,0,2
217,2,0,0,0,0,0
218,2,1,0,0,0,1
219,11,4,0,0,0,0
220,0,15,0,0,0,20
221,1,0,0,0,0,0
222,5,3,0,0,0,0
223,2,0,0,0,0,1
224,1,0,0,0,0,1
225,1,0,0,0,0,0
226,1,0,0,0,0,0
227,5,0,0,0,0,0
228,3,1,0,0,0,0
229,4,0,0,0,0,1
230,2,0,0,0,0,0
231,1,0,0,0,0,0
232,3,1,0,0,0,0
233,1,0,0,0,0,0
234,1,0,0,0,0,0
235,2,1,0,0,0,0
236,1,1,0,0,0,0
237,3,0,0,0,0,0
238,1,1,0,0,0,0
239,11,50,0,0,0,383
240,1,0,0,0,0,1
241,1,0,0,0,0,0
242,0,40,0,0,0,1
243,2,0,0,0,0,1
244,2,1,0,0,0,15
245,1,0,0,0,0,1
246,5,51,0,0,0,547
247,5,1,0,0,0,4
248,10,42,0,0,0,32
249,4,1,0,0,0,0
250,8,2,0,0,0,0
251,1,0,0,0,0,0
252,1,0,0,0,0,0
253,1,0,0,0,0,0
254,4,0,0,0,0,1
255,2,0,0,0,0,1
256,1,1,0,0,0,264
257,1,1,0,0,0,0
258,1,0,0,0,0,0
259,1,0,0,0,0,0
260,6,0,0,0,0,3
261,1,0,0,0,0,0
262,2,2,0,0,0,0
263,1,1,0,0,0,0
264,8,1,0,0,0,2
265,1,0,0,0,0,1
266,1,0,0,0,0,0
267,5,0,0,0,0,4
268,2,2,0,0,0,0
269,2,0,0,0,0,1
270,2,0,0,0,0,0
271,2,10,0,0,0,188
272,3,0,0,0,0,0
273,4,0,0,0,0,0
274,12,3,0,0,0,3
275,1,0,0,0,0,0
276,29,36,0,0,0,27
277,1,0,0,0,0,0
278,1,0,0,0,0,0
279,1,1,0,0,0,0
280,9,2,0,0,0,0
281,6,0,0,0,0,2
282,4,1,0,0,0,1
283,1,1,0,0,0,0
284,1,1,0,0,0,0
285,1,0,0,0,0,0
286,1,0,0,0,0,0
287,12,4,0,0,0,0
288,1,0,0,0,0,0
289,6,4,0,0,0,32
290,1,0,0,0,0,0
291,6,1,0,0,0,0
292,1,0,0,0,0,0
293,0,16,0,0,0,513
294,1,0,0,0,0,0
295,1,0,0,0,0,2
296,1,1,0,0,0,0
297,1,0,0,0,0,0
298,1,0,0,0,0,0
299,20,70,0,0,0,90
300,4,0,0,0,0,1
301,2,0,0,0,0,0
302,2,1,0,0,0,0
303,1,0,0,0,0,1
304,1,1,0,0,0,0
305,1,0,0,0,0,0
306,3,1,0,0,0,0
307,1,0,0,0,0,0
308,4,1,0,0,0,0
309,1,0,0,0,0,0
310,1,1,0,0,0,0
311,7,3,0,0,0,3
312,3,0,0,0,0,1
313,1,0,0,0,0,0
314,1,0,0,0,0,0
315,2,0,0,0,0,1
316,4,0,0,0,0,0
317,1,0,0,0,0,0
318,2,5,0,0,0,284
319,1,1,0,0,0,0
320,2,1,0,0,0,0
321,1,0,0,0,0,0
322,2,0,0,0,0,0
323,2,1,0,0,0,0
324,1,1,0,0,0,0
325,8,1,0,0,0,0
326,1,0,0,0,0,0
327,1,0,0,0,0,0
328,3,1,0,0,0,2
329,1,0,0,0,0,0
330,2,1,0,0,0,0
331,1,0,0,0,0,0
332,1,0,0,0,0,1
333,5,1,0,0,0,0
334,3,2,0,0,0,0
335,1,0,0,0,0,1
336,1,1,0,0,0,0
337,5,2,0,0,0,0
338,3,0,0,0,0,0
339,1,0,0,0,0,0
340,1,1,0,0,0,0
341,2,1,0,0,0,0
342,1,0,0,0,0,0
343,4,1,0,0,0,1
344,1,1,0,0,0,0
345,1,1,0,0,0,0
346,1,1,0,0,0,0
347,2,0,0,0,0,1
348,1,0,0,0,0,0
349,1,1,0,0,0,0
350,3,0,0,0,0,1
351,1,0,0,0,0,0
352,17,3,0,0,0,2
353,2,0,0,0,0,1
354,1,0,0,0,0,0
355,10,2,0,0,0,1
356,1,0,0,0,0,0
357,1,0,0,0,0,0
358,1,0,0,0,0,1
359,1,0,0,0,0,1
360,1,0,0,0,0,0
361,2,0,0,0,0,0
362,2,0,0,0,0,1
363,1,0,0,0,0,0
364,5,0,0,0,0,4
365,2,1,0,0,0,1
366,1,0,0,0,0,0
367,1,0,0,0,0,0
368,1,0,0,0,0,0
369,1,0,0,0,0,1
370,2,0,0,0,0,0
371,1,0,0,0,0,0
372,1,0,0,0,0,0
373,1,0,0,0,0,1
374,1,1,0,0,0,0
375,3,0,0,0,0,0
376,1,0,0,0,0,0
377,2,0,0,0,0,0
378,32,15,0,0,0,9
379,4,1,0,0,0,0
380,1,1,0,0,0,0
381,1,0,0,0,0,0
382,1,1,0,0,0,0
383,1,0,0,0,0,0
384,2,0,0,0,0,0
385,1,0,0,0,0,0
386,2,0,0,0,0,2
387,1,0,0,0,0,0
388,1,0,0,0,0,0
389,3,0,0,0,0,0
390,1,1,0,0,0,0
391,2,0,0,0,0,0
392,1,0,0,0,0,0
393,27,5,0,0,0,2
394,3,0,0,0,0,2
395,3,0,0,0,0,0
396,2,0,0,0,0,0
397,1,0,0,0,0,0
398,5,2,0,0,0,1
399,6,2,0,0,0,0
400,4,1,0,0,0,0
401,1,0,0,0,0,0
402,1,1,0,0,0,0
403,1,1,0,0,0,1
404,4,0,0,0,0,28
405,4,1,0,0,0,0
406,4,1,0,0,0,0
407,1,1,0,0,0,0
408,3,3,0,0,0,0
409,6,2,0,0,0,0
410,2,0,0,0,0,0
411,6,3,0,0,0,0
412,1,0,0,0,0,0
413,3,1,0,0,0,1
414,3,1,0,0,0,0
415,6,3,0,0,0,6
416,6,1,0,0,0,0
417,1,0,0,0,0,0
418,3,2,0,0,0,68
419,1,1,0,0,0,0
420,1,0,0,0,0,0
421,2,1,0,0,0,0
422,1,0,0,0,0,3
423,1,0,0,0,0,0
424,2,0,0,0,0,1
425,3,2,0,0,0,0
426,2,0,0,0,0,0
427,6,1,0,0,0,0
428,2,0,0,0,0,1
429,1,0,0,0,0,0
430,4,0,0,0,0,0
431,1,0,0,0,0,0
432,6,2,0,0,0,3
433,2,2,0,0,0,0
434,2,0,0,0,0,1
435,1,0,0,0,0,0
436,2,0,0,0,0,0
437,1,0,0,0,0,0
438,2,2,0,0,0,0
439,5,3,0,0,0,1
440,21,0,0,0,0,1
441,14,2,0,0,0,0
