developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,2,2,1,0,0,0
1,1,0,1,0,0,0
2,3,2,3,0,0,3
3,2,3,2,0,0,0
4,806,936,2,0,22,388
5,0,3,0,0,1,23
6,1,0,1,0,0,0
7,1,2,1,0,0,0
8,1,1,1,0,0,0
9,1,0,1,0,0,0
10,1,2,1,0,0,0
11,2,2,2,0,0,0
12,3,2,3,0,0,0
13,1,0,1,0,0,0
14,1,1,1,0,0,0
15,1,1,1,0,0,0
16,1,0,1,0,0,0
17,1,0,1,0,0,5
18,1,0,1,0,0,0
19,1,0,1,0,0,1
20,1,0,1,0,0,0
21,1,0,1,0,0,0
22,1,1,1,0,0,0
23,1,1,1,0,0,0
24,2,4,2,0,0,0
25,2,1,2,0,0,0
26,1,0,1,0,0,0
27,1,0,1,0,0,2
28,3,2,1,0,0,1
29,1,0,1,0,0,0
30,1,0,1,0,0,1
31,1,0,1,0,0,1
32,1,0,1,0,0,0
33,3,2,1,0,0,1
34,1,0,1,0,0,1
35,1,0,1,0,0,0
36,9,10,3,0,2,0
37,7,5,7,0,0,0
38,2,1,2,0,0,1
39,1,1,1,0,0,0
40,1,0,1,0,0,1
41,2,1,2,0,0,0
42,1,1,1,0,0,0
43,3,2,3,0,0,2
44,2,0,2,0,0,0
45,1,1,1,0,0,0
46,1,0,1,0,0,1
47,1,0,1,0,0,0
48,1,0,1,0,0,1
49,1,1,1,0,0,0
50,3,1,1,0,0,0
51,1,0,1,0,0,0
52,1,0,1,0,0,1
53,1,0,1,0,0,1
54,1,1,1,0,0,0
55,2,0,2,0,0,5
56,2,0,1,0,0,1
57,0,18,0,0,0,2
58,1,1,0,0,0,0
59,1,0,0,0,0,0
60,1,1,0,0,0,0
61,1,0,0,0,0,0
62,1,0,0,0,0,0
63,2,0,0,0,0,0
64,1,0,0,0,0,0
65,1,1,0,0,0,0
66,1,1,0,0,0,0
67,1,0,0,0,0,0
68,1,1,0,0,0,0
69,2,0,0,0,0,0
70,2,0,0,0,0,3
71,1,0,0,0,0,0
72,1,0,0,0,0,0
73,1,0,0,0,0,1
74,3,2,0,0,0,0
75,2,0,0,0,0,1
76,1,0,0,0,0,0
77,1,0,0,0,0,0
78,2,0,0,0,0,0
79,1,0,0,0,0,0
80,1,0,0,0,0,0
81,2,0,0,0,0,0
82,2,0,0,0,0,0
83,1,0,0,0,0,0
84,1,0,0,0,0,0
85,1,0,0,0,0,0
86,1,0,0,0,0,3
87,1,0,0,0,0,0
