developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,8,7,2,0,0,0
1,1,1,0,0,0,0
2,1,0,0,0,0,0
3,1,0,0,0,0,0
4,1,0,0,0,0,0
5,5,1,0,0,0,6
6,0,6,0,0,0,34
7,1,0,0,0,0,0
8,0,2,0,0,0,14
9,1,0,0,0,0,1
10,1,1,0,0,0,0
11,1,0,0,0,0,0
12,1,0,0,0,0,0
13,1,1,0,0,0,0
14,3,2,0,0,0,2
15,1,0,0,0,0,0
16,1,1,0,0,0,0
17,1,0,0,0,0,0
18,1,0,0,0,0,0
19,1,0,0,0,0,0
20,1,0,0,0,0,0
21,1,0,0,0,0,0
22,1,0,0,0,0,0
23,2,1,0,0,0,0
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,0,3,0,0,0,45
27,1,0,0,0,0,0
28,1,0,0,0,0,0
29,2,1,0,0,0,0
30,2,1,0,0,0,0
31,1,1,0,0,0,0
32,1,0,0,0,0,0
33,1,0,0,0,0,0
34,1,0,0,0,0,0
35,1,0,0,0,0,0
36,1,0,0,0,0,0
37,1,1,0,0,0,0
38,2,0,0,0,0,0
39,1,0,0,0,0,0
40,1,0,0,0,0,0
41,2,2,0,0,0,0
42,1,0,0,0,0,0
43,1,1,0,0,0,0
44,2,1,0,0,0,0
45,1,0,0,0,0,0
46,2,0,0,0,0,0
47,1,1,0,0,0,0
48,7,5,0,0,0,0
49,1,0,0,0,0,0
50,1,1,0,0,0,0
51,1,0,0,0,0,0
52,1,0,0,0,0,0
53,1,0,0,0,0,0
54,1,0,0,0,0,0
55,0,18,0,0,0,3
56,1,0,0,0,0,0
57,3,0,0,0,0,0
58,1,0,0,0,0,0
59,1,0,0,0,0,0
60,2,0,0,0,0,2
61,1,0,0,0,0,0
62,1,1,0,0,0,0
63,2,1,0,0,0,0
64,1,0,0,0,0,0
65,1,0,0,0,0,44
66,1,1,0,0,0,0
67,1,0,0,0,0,0
68,6,5,0,0,0,0
