developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,494,367,0,0,0,2
1,0,483,0,0,0,1279
2,83,107,0,0,0,111
3,12,2,0,0,0,16
4,1,0,0,0,0,1
5,1,0,0,0,0,0
6,1,0,0,0,0,1
7,1,0,0,0,0,0
8,1,0,0,0,0,0
9,1,0,0,0,0,1
10,1,0,0,0,0,1
11,4,1,0,0,0,0
12,1,0,0,0,0,0
13,1,0,0,0,0,0
14,2,1,0,0,0,1
15,1,0,0,0,0,0
16,1,0,0,0,0,0
17,2,0,0,0,0,1
18,2,0,0,0,0,0
19,1,0,0,0,0,1
20,2,0,0,0,0,2
21,1,0,0,0,0,0
22,1,1,0,0,0,0
23,3,0,0,0,0,4
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,1,0,0,0,0,2
27,1,0,0,0,0,0
28,1,0,0,0,0,0
29,1,0,0,0,0,0
30,2,2,0,0,0,0
31,1,0,0,0,0,0
32,4,0,0,0,0,7
33,2,0,0,0,0,0
34,1,0,0,0,0,8
35,1,0,0,0,0,0
36,1,0,0,0,0,1
37,2,2,0,0,0,0
38,1,0,0,0,0,0
39,1,1,0,0,0,0
40,1,1,0,0,0,0
41,1,0,0,0,0,0
42,1,0,0,0,0,0
43,1,0,0,0,0,0
44,2,0,0,0,0,0
45,1,0,0,0,0,1
46,2,0,0,0,0,0
47,1,0,0,0,0,0
48,1,0,0,0,0,1
49,1,0,0,0,0,1
50,2,0,0,0,0,0
51,1,0,0,0,0,1
52,1,0,0,0,0,0
53,1,0,0,0,0,1
54,2,0,0,0,0,1
55,1,0,0,0,0,0
56,1,0,0,0,0,0
57,1,0,0,0,0,0
58,1,0,0,0,0,0
59,2,0,0,0,0,0
60,3,1,0,0,0,1
61,1,0,0,0,0,1
62,1,0,0,0,0,0
63,3,0,0,0,0,0
64,5,1,0,0,0,3
65,1,0,0,0,0,0
66,1,0,0,0,0,0
67,2,0,0,0,0,0
68,1,0,0,0,0,0
69,1,0,0,0,0,0
70,1,0,0,0,0,0
71,1,0,0,0,0,0
72,2,0,0,0,0,0
73,1,0,0,0,0,0
74,2,0,0,0,0,2
75,1,0,0,0,0,1
76,1,0,0,0,0,0
77,1,0,0,0,0,0
78,1,0,0,0,0,1
79,1,0,0,0,0,0
80,1,0,0,0,0,0
81,1,0,0,0,0,1
82,2,0,0,0,0,0
83,1,1,0,0,0,0
84,1,1,0,0,0,0
85,4,0,0,0,0,2
86,1,0,0,0,0,0
87,1,0,0,0,0,0
88,1,0,0,0,0,0
89,1,1,0,0,0,0
90,1,0,0,0,0,2
91,1,0,0,0,0,0
92,1,1,0,0,0,0
93,3,1,0,0,0,0
94,2,1,0,0,0,0
95,1,1,0,0,0,1
96,1,0,0,0,0,0
97,1,0,0,0,0,0
98,1,0,0,0,0,0
99,1,1,0,0,0,0
100,2,0,0,0,0,1
101,1,0,0,0,0,0
102,2,0,0,0,0,0
103,2,1,0,0,0,0
104,1,0,0,0,0,0
105,1,0,0,0,0,5
106,1,1,0,0,0,0
107,1,0,0,0,0,0
108,1,0,0,0,0,0
109,2,0,0,0,0,0
110,1,0,0,0,0,0
111,1,0,0,0,0,0
112,1,0,0,0,0,3
113,3,0,0,0,0,2
114,1,1,0,0,0,0
115,1,0,0,0,0,0
116,1,0,0,0,0,1
117,1,0,0,0,0,0
118,1,0,0,0,0,2
119,1,0,0,0,0,0
120,1,0,0,0,0,0
121,1,0,0,0,0,0
122,1,0,0,0,0,0
123,2,0,0,0,0,2
124,1,0,0,0,0,0
125,1,0,0,0,0,0
126,1,0,0,0,0,1
127,3,0,0,0,0,2
128,2,1,0,0,0,0
129,1,0,0,0,0,0
130,1,0,0,0,0,1
131,2,1,0,0,0,0
132,1,0,0,0,0,0
133,1,0,0,0,0,0
134,1,0,0,0,0,3
135,1,0,0,0,0,0
136,1,0,0,0,0,0
137,1,0,0,0,0,0
138,1,1,0,0,0,0
139,1,0,0,0,0,0
140,1,1,0,0,0,0
141,1,0,0,0,0,0
142,1,0,0,0,0,0
143,4,0,0,0,0,0
144,1,0,0,0,0,0
145,2,1,0,0,0,0
146,1,0,0,0,0,0
147,1,0,0,0,0,0
148,1,0,0,0,0,0
149,1,1,0,0,0,0
150,2,0,0,0,0,0
151,1,0,0,0,0,0
152,1,0,0,0,0,1
153,1,1,0,0,0,0
154,1,0,0,0,0,0
155,1,0,0,0,0,0
156,1,0,0,0,0,0
157,1,0,0,0,0,0
158,2,0,0,0,0,0
159,1,0,0,0,0,0
160,8,5,0,0,0,5
161,1,0,0,0,0,0
162,1,0,0,0,0,0
163,1,1,0,0,0,0
164,1,0,0,0,0,1
165,1,0,0,0,0,1
166,1,0,0,0,0,0
167,3,0,0,0,0,0
168,1,1,0,0,0,0
169,1,1,0,0,0,0
170,1,1,0,0,0,0
171,1,0,0,0,0,0
172,1,1,0,0,0,0
173,1,0,0,0,0,0
174,1,0,0,0,0,0
175,2,1,0,0,0,0
176,1,1,0,0,0,0
177,1,0,0,0,0,0
178,1,0,0,0,0,0
179,1,1,0,0,0,0
180,1,0,0,0,0,0
181,1,0,0,0,0,0
182,1,1,0,0,0,0
183,1,0,0,0,0,0
184,1,0,0,0,0,0
185,1,0,0,0,0,0
186,2,0,0,0,0,0
187,1,0,0,0,0,2
188,1,0,0,0,0,0
189,1,0,0,0,0,0
190,1,1,0,0,0,0
191,1,0,0,0,0,0
192,2,1,0,0,0,1
193,1,0,0,0,0,0
194,1,0,0,0,0,0
195,1,0,0,0,0,0
196,1,0,0,0,0,0
197,1,0,0,0,0,0
198,1,0,0,0,0,0
199,1,0,0,0,0,1
200,4,0,0,0,0,0
201,1,0,0,0,0,0
202,1,0,0,0,0,0
203,1,1,0,0,0,0
204,1,0,0,0,0,0
205,1,0,0,0,0,0
206,1,1,0,0,0,0
207,1,0,0,0,0,0
208,3,0,0,0,0,0
209,3,0,0,0,0,0
210,1,1,0,0,0,0
211,1,0,0,0,0,0
212,1,0,0,0,0,0
213,3,0,0,0,0,0
214,1,0,0,0,0,0
215,1,0,0,0,0,0
216,1,1,0,0,0,2
217,1,0,0,0,0,0
218,1,0,0,0,0,0
219,1,0,0,0,0,0
220,2,1,0,0,0,0
221,1,1,0,0,0,0
222,1,0,0,0,0,1
223,1,0,0,0,0,1
224,1,0,0,0,0,0
225,1,1,0,0,0,0
226,1,0,0,0,0,0
227,1,0,0,0,0,0
228,1,1,0,0,0,0
229,1,0,0,0,0,0
230,1,0,0,0,0,0
231,1,0,0,0,0,0
232,1,0,0,0,0,0
233,1,0,0,0,0,0
234,1,0,0,0,0,0
235,1,0,0,0,0,0
236,1,0,0,0,0,0
237,2,0,0,0,0,1
238,1,0,0,0,0,0
239,1,0,0,0,0,0
240,1,0,0,0,0,0
241,1,0,0,0,0,2
242,1,0,0,0,0,2
243,2,0,0,0,0,0
244,1,0,0,0,0,0
245,1,0,0,0,0,0
246,2,1,0,0,0,0
247,1,0,0,0,0,0
248,1,0,0,0,0,0
249,1,0,0,0,0,0
250,2,0,0,0,0,0
251,0,2,0,0,0,14
252,1,0,0,0,0,0
253,1,0,0,0,0,1
254,1,0,0,0,0,6
255,1,1,0,0,0,1
256,1,0,0,0,0,3
257,1,0,0,0,0,0
258,2,0,0,0,0,0
259,1,0,0,0,0,0
260,1,0,0,0,0,1
261,1,0,0,0,0,0
262,1,0,0,0,0,0
263,1,0,0,0,0,0
264,2,0,0,0,0,0
