developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,1,0,1,0,0,1
1,12,640,0,0,2,2441
2,1,0,1,0,0,1
3,1,1,0,0,0,0
4,12,3,0,0,0,0
5,4,0,0,0,0,4
6,1,0,0,0,0,1
7,1,0,0,0,0,0
8,13,6,0,0,0,9
9,3,0,0,0,0,0
10,1,0,0,0,0,3
11,1,0,0,0,0,0
12,4,1,0,0,0,0
13,2,0,0,0,0,0
14,5,0,0,0,0,5
15,2,0,0,0,0,1
16,1,1,0,0,0,0
17,3,0,0,0,0,3
18,0,1,0,0,0,123
19,1,0,0,0,0,0
20,14,4,0,0,0,3
21,23,2,0,0,0,26
22,1,0,0,0,0,0
23,2,0,0,0,0,1
24,11,5,0,0,0,0
25,1,0,0,0,0,0
26,13,2,0,0,0,37
27,4,0,0,0,0,0
28,1,0,0,0,0,0
29,1,1,0,0,0,0
30,1,0,0,0,0,0
31,1,0,0,0,0,1
32,1,0,0,0,0,0
33,6,0,0,0,0,0
34,1,0,0,0,0,0
35,2,1,0,0,0,0
36,1,1,0,0,0,0
37,1,0,0,0,0,0
38,1,0,0,0,0,1
39,1,0,0,0,0,0
40,1,0,0,0,0,0
41,1,0,0,0,0,0
42,5,1,0,0,0,6
43,1,0,0,0,0,0
44,0,111,0,0,0,0
45,4,1,0,0,0,0
46,7,0,0,0,0,3
47,1,0,0,0,0,0
48,3,1,0,0,0,5
49,1,0,0,0,0,1
50,1,0,0,0,0,1
51,1,0,0,0,0,0
52,28,0,0,0,0,0
53,1,0,0,0,0,0
54,3,0,0,0,0,0
55,3,0,0,0,0,0
56,4,0,0,0,0,0
57,1,1,0,0,0,0
58,6,2,0,0,0,15
59,4,2,0,0,0,1
60,4,0,0,0,0,11
61,7,2,0,0,0,8
62,3,0,0,0,0,0
63,1,0,0,0,0,0
64,1,0,0,0,0,0
65,1,0,0,0,0,0
66,1,0,0,0,0,0
67,6,0,0,0,0,1
68,1,0,0,0,0,1
69,4,0,0,0,0,4
70,3,2,0,0,0,16
71,6,0,0,0,0,6
72,1,0,0,0,0,0
73,1,0,0,0,0,0
74,1,0,0,0,0,0
75,1,0,0,0,0,1
76,1,0,0,0,0,0
77,2,1,0,0,0,0
78,3,0,0,0,0,8
79,6,4,0,0,0,9
80,1,0,0,0,0,1
81,2,0,0,0,0,4
82,15,4,0,0,0,62
83,1,0,0,0,0,0
84,1,0,0,0,0,0
85,1,0,0,0,0,0
86,1,0,0,0,0,0
87,3,0,0,0,0,0
88,2,1,0,0,0,0
89,1,0,0,0,0,0
90,1,0,0,0,0,0
91,1,0,0,0,0,0
92,4,1,0,0,0,12
93,14,3,0,0,0,30
94,2,0,0,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,1
97,1,0,0,0,0,0
98,1,0,0,0,0,0
99,1,0,0,0,0,0
100,22,4,0,0,0,53
101,1,0,0,0,0,0
102,1,0,0,0,0,0
103,1,0,0,0,0,0
104,1,1,0,0,0,0
105,1,0,0,0,0,0
106,1,1,0,0,0,0
107,11,1,0,0,0,17
108,2,0,0,0,0,2
109,1,0,0,0,0,0
110,1,0,0,0,0,0
111,7,1,0,0,0,0
112,1,0,0,0,0,0
113,1,1,0,0,0,0
114,1,0,0,0,0,0
115,4,0,0,0,0,0
116,1,1,0,0,0,0
117,1,0,0,0,0,0
118,1,0,0,0,0,0
119,2,1,0,0,0,0
120,2,0,0,0,0,0
121,4,0,0,0,0,0
122,1,0,0,0,0,0
123,3,0,0,0,0,0
124,7,1,0,0,0,0
125,3,0,0,0,0,0
126,10,2,0,0,0,1
127,1,0,0,0,0,0
128,1,0,0,0,0,0
129,2,0,0,0,0,0
130,1,0,0,0,0,0
131,1,0,0,0,0,0
132,2,1,0,0,0,8
133,2,1,0,0,0,0
134,1,1,0,0,0,0
135,1,1,0,0,0,0
136,12,2,0,0,0,0
137,5,1,0,0,0,2
138,1,0,0,0,0,0
139,5,0,0,0,0,9
140,1,0,0,0,0,0
141,1,0,0,0,0,1
142,1,0,0,0,0,0
143,4,1,0,0,0,1
144,2,0,0,0,0,0
145,6,0,0,0,0,0
146,1,0,0,0,0,0
147,1,0,0,0,0,0
148,1,0,0,0,0,0
149,2,0,0,0,0,0
150,1,0,0,0,0,0
151,4,2,0,0,0,0
152,1,0,0,0,0,1
153,1,0,0,0,0,0
154,5,3,0,0,0,0
155,2,0,0,0,0,1
156,1,0,0,0,0,0
157,3,0,0,0,0,5
158,5,0,0,0,0,0
159,1,0,0,0,0,0
160,1,1,0,0,0,0
161,4,1,0,0,0,0
162,1,1,0,0,0,0
163,5,3,0,0,0,0
164,2,0,0,0,0,0
165,1,0,0,0,0,0
166,1,1,0,0,0,0
167,1,0,0,0,0,0
168,1,0,0,0,0,0
169,2,1,0,0,0,1
170,2,1,0,0,0,0
171,1,0,0,0,0,0
172,4,2,0,0,0,1
173,2,0,0,0,0,0
174,3,1,0,0,0,0
175,1,0,0,0,0,0
176,1,0,0,0,0,66
177,3,0,0,0,0,1
178,21,3,0,0,0,65
179,10,3,0,0,0,3
180,7,3,0,0,0,4
181,1,0,0,0,0,0
182,1,0,0,0,0,0
183,1,0,0,0,0,0
184,1,0,0,0,0,0
185,1,0,0,0,0,0
186,1,0,0,0,0,0
187,1,0,0,0,0,0
188,1,0,0,0,0,0
189,2,0,0,0,0,0
190,2,0,0,0,0,0
191,1,0,0,0,0,7
192,10,3,0,0,0,0
193,1,1,0,0,0,7
194,2,0,0,0,0,1
195,1,0,0,0,0,1
196,1,0,0,0,0,0
197,3,3,0,0,0,0
