developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,2,0,0,0,0,0
1,33,88,0,0,0,694
2,79,230,0,0,0,6436
3,177,103,0,0,0,2104
4,6,1,0,0,0,0
5,1,1,0,0,0,0
6,3,0,0,0,0,0
7,2,0,0,0,0,0
8,2,1,0,0,0,0
9,2,0,0,0,0,1
10,26,0,0,0,0,24
11,1,1,0,0,0,0
12,1,0,0,0,0,0
13,1,0,0,0,0,0
14,5,0,0,0,0,0
15,1,0,0,0,0,0
16,1,0,0,0,0,0
17,3,0,0,0,0,0
18,2,0,0,0,0,2
19,1,0,0,0,0,0
20,1,0,0,0,0,21
21,24,0,0,0,0,52
22,1,0,0,0,0,0
23,2,0,0,0,0,0
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,4,1,0,0,0,3
27,15,3,0,0,0,12
28,1,0,0,0,0,0
29,1,1,0,0,0,0
30,3,2,0,0,0,5
31,5,0,0,0,0,0
32,1,0,0,0,0,0
33,4,0,0,0,0,1
34,3,0,0,0,0,2
35,1,0,0,0,0,0
36,6,3,0,0,0,749
37,2,0,0,0,0,0
38,1,0,0,0,0,0
39,15,0,0,0,0,3
40,1,0,0,0,0,0
41,2,0,0,0,0,1
42,3,0,0,0,0,0
43,3,0,0,0,0,0
44,5,0,0,0,0,0
45,1,0,0,0,0,0
46,2,0,0,0,0,4
47,1,0,0,0,0,0
48,1,0,0,0,0,0
49,1,0,0,0,0,0
50,1,0,0,0,0,0
51,2,0,0,0,0,0
52,1,0,0,0,0,0
53,10,2,0,0,0,0
54,1,0,0,0,0,0
55,9,0,0,0,0,0
56,1,0,0,0,0,0
57,1,0,0,0,0,0
58,1,0,0,0,0,0
59,1,0,0,0,0,0
60,14,6,0,0,0,283
61,1,0,0,0,0,0
62,1,0,0,0,0,19
63,1,0,0,0,0,0
64,2,0,0,0,0,0
65,1,0,0,0,0,0
66,1,1,0,0,0,0
67,8,0,0,0,0,0
68,2,0,0,0,0,0
69,1,0,0,0,0,0
70,1,0,0,0,0,0
71,1,0,0,0,0,0
72,1,0,0,0,0,0
73,1,0,0,0,0,0
74,1,0,0,0,0,0
75,1,1,0,0,0,0
76,1,0,0,0,0,0
77,0,0,0,0,0,1
78,0,0,0,0,0,14
79,0,0,0,0,0,67
80,0,0,0,0,0,4
81,0,0,0,0,0,410
82,0,0,0,0,0,1
83,0,0,0,0,0,19
84,0,0,0,0,0,1
85,0,0,0,0,0,5
86,0,0,0,0,0,8
87,0,0,0,0,0,2
88,0,0,0,0,0,2
89,0,0,0,0,0,1
90,0,0,0,0,0,4
91,0,0,0,0,0,1
92,0,0,0,0,0,1
93,0,0,0,0,0,1
94,0,0,0,0,0,2
95,0,0,0,0,0,1
96,0,0,0,0,0,6
97,0,0,0,0,0,63
98,0,0,0,0,0,1
99,0,0,0,0,0,1
100,0,0,0,0,0,79
101,0,0,0,0,0,2
102,0,0,0,0,0,1
103,0,0,0,0,0,1
104,0,0,0,0,0,2
105,0,0,0,0,0,2
106,0,0,0,0,0,5
107,0,0,0,0,0,1
108,0,0,0,0,0,1
109,0,0,0,0,0,7
110,0,0,0,0,0,1
111,0,0,0,0,0,1
112,0,0,0,0,0,1
