developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,222,25,0,0,0,442
1,65,158,0,0,0,3918
2,1,0,0,0,0,0
3,23,131,0,0,0,452
4,1,0,0,0,0,1
5,1,0,0,0,0,3
6,1,0,0,0,0,0
7,6,10,0,0,0,412
8,33,0,0,0,0,35
9,7,26,0,0,0,427
10,1,1,0,0,0,3
11,31,59,0,0,0,482
12,18,75,0,0,0,304
13,17,199,0,0,0,1941
14,11,5,0,0,0,124
15,1,0,0,0,0,0
16,1,0,0,0,0,2
17,3,0,0,0,0,3
18,2,0,0,0,0,0
19,72,376,0,0,0,5710
20,0,2,0,0,0,60
21,0,14,0,0,0,3190
22,4,8,0,0,0,88
23,4,25,0,0,0,3690
24,3,12,0,0,0,42
25,12,0,0,0,0,37
26,1,1,0,0,0,0
27,1,1,0,0,0,0
28,4,1,0,0,0,0
29,2,1,0,0,0,0
30,4,0,0,0,0,1
31,7,1,0,0,0,0
32,10,1,0,0,0,3
33,2,0,0,0,0,0
34,2,0,0,0,0,0
35,2,0,0,0,0,0
36,2,1,0,0,0,0
37,1,0,0,0,0,0
38,1,1,0,0,0,0
39,3,1,0,0,0,0
40,1,0,0,0,0,0
41,1,0,0,0,0,0
42,10,9,0,0,0,2130
43,1,0,0,0,0,0
44,1,0,0,0,0,0
45,6,3,0,0,0,22
46,2,0,0,0,0,5
47,1,0,0,0,0,0
48,2,0,0,0,0,6
49,15,0,0,0,0,0
50,5,0,0,0,0,16
51,1,0,0,0,0,0
52,3,1,0,0,0,0
53,2,0,0,0,0,3
54,1,0,0,0,0,0
55,6,0,0,0,0,4
56,2,0,0,0,0,0
57,2,0,0,0,0,0
58,3,0,0,0,0,0
59,1,1,0,0,0,0
60,4,1,0,0,0,0
61,1,0,0,0,0,0
62,2,0,0,0,0,2
63,1,0,0,0,0,0
64,4,0,0,0,0,8
65,5,1,0,0,0,48
66,1,1,0,0,0,0
67,4,0,0,0,0,0
68,1,0,0,0,0,0
69,1,0,0,0,0,0
70,1,0,0,0,0,0
71,2,0,0,0,0,0
72,1,0,0,0,0,0
73,1,0,0,0,0,0
74,1,0,0,0,0,0
75,2,14,0,0,0,584
76,2,2,0,0,0,36
77,1,0,0,0,0,0
78,1,0,0,0,0,0
79,2,0,0,0,0,0
80,5,1,0,0,0,12
81,1,0,0,0,0,0
82,3,0,0,0,0,3
83,2,0,0,0,0,0
84,1,0,0,0,0,0
85,1,0,0,0,0,0
86,1,0,0,0,0,0
87,3,0,0,0,0,0
88,3,1,0,0,0,0
89,1,0,0,0,0,0
90,1,1,0,0,0,0
91,2,1,0,0,0,0
92,4,0,0,0,0,0
93,1,0,0,0,0,4
94,1,0,0,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,0
97,1,0,0,0,0,0
98,1,0,0,0,0,0
99,5,1,0,0,0,2
100,1,1,0,0,0,0
101,1,1,0,0,0,3
102,2,0,0,0,0,0
103,5,3,0,0,0,28
104,2,0,0,0,0,7
105,1,0,0,0,0,0
106,1,0,0,0,0,0
107,1,0,0,0,0,0
108,1,0,0,0,0,0
109,1,0,0,0,0,0
110,2,0,0,0,0,0
111,1,0,0,0,0,0
112,1,0,0,0,0,0
113,1,12,0,0,0,2118
114,5,0,0,0,0,73
115,9,1,0,0,0,0
116,1,0,0,0,0,0
117,1,0,0,0,0,7
118,1,0,0,0,0,1
119,1,0,0,0,0,4
120,1,0,0,0,0,0
121,2,0,0,0,0,6
122,2,0,0,0,0,0
123,2,2,0,0,0,0
124,3,1,0,0,0,3
125,1,0,0,0,0,0
126,1,0,0,0,0,0
127,1,0,0,0,0,0
128,1,0,0,0,0,0
129,1,0,0,0,0,0
130,1,0,0,0,0,4
131,10,0,0,0,0,7
132,2,1,0,0,0,0
133,2,1,0,0,0,0
134,1,0,0,0,0,0
135,1,0,0,0,0,0
136,2,0,0,0,0,8
137,0,6,0,0,0,1730
138,3,0,0,0,0,0
139,2,1,0,0,0,0
140,2,1,0,0,0,0
141,5,9,0,0,0,854
142,1,0,0,0,0,0
143,2,0,0,0,0,0
144,10,16,0,0,0,778
145,1,1,0,0,0,1
146,3,0,0,0,0,4
147,2,0,0,0,0,0
148,1,0,0,0,0,0
149,3,1,0,0,0,2
150,2,0,0,0,0,5
151,3,1,0,0,0,57
152,1,0,0,0,0,0
153,1,1,0,0,0,0
154,1,0,0,0,0,0
155,6,0,0,0,0,0
156,1,0,0,0,0,0
157,3,0,0,0,0,0
158,2,0,0,0,0,0
159,4,3,0,0,0,129
160,1,0,0,0,0,0
161,1,0,0,0,0,0
162,3,0,0,0,0,0
163,0,1,0,0,0,78
164,1,0,0,0,0,0
165,1,0,0,0,0,0
166,1,0,0,0,0,0
167,3,0,0,0,0,12
168,3,0,0,0,0,51
169,3,1,0,0,0,0
170,2,0,0,0,0,0
171,1,0,0,0,0,0
172,2,0,0,0,0,0
173,1,0,0,0,0,2
174,2,0,0,0,0,13
175,2,2,0,0,0,255
176,1,0,0,0,0,0
177,1,1,0,0,0,8
178,1,0,0,0,0,0
179,12,2,0,0,0,4
180,1,0,0,0,0,0
181,1,0,0,0,0,0
182,1,0,0,0,0,1
183,1,0,0,0,0,0
184,1,0,0,0,0,3
185,1,0,0,0,0,0
186,1,0,0,0,0,0
187,2,0,0,0,0,0
188,1,0,0,0,0,0
189,1,1,0,0,0,0
190,1,0,0,0,0,2
191,1,0,0,0,0,0
192,1,0,0,0,0,0
193,1,0,0,0,0,0
194,3,1,0,0,0,19
195,2,1,0,0,0,1
196,9,0,0,0,0,0
197,1,0,0,0,0,0
198,1,0,0,0,0,0
199,1,0,0,0,0,0
200,4,0,0,0,0,0
201,1,0,0,0,0,0
202,1,0,0,0,0,0
203,1,0,0,0,0,0
204,1,0,0,0,0,0
205,1,0,0,0,0,0
206,1,0,0,0,0,0
207,1,0,0,0,0,0
208,2,1,0,0,0,7
209,1,0,0,0,0,0
210,1,1,0,0,0,0
211,3,0,0,0,0,0
212,1,0,0,0,0,0
213,1,1,0,0,0,0
214,1,0,0,0,0,0
215,1,0,0,0,0,0
216,1,1,0,0,0,0
217,1,0,0,0,0,0
218,1,0,0,0,0,0
219,1,0,0,0,0,0
220,1,0,0,0,0,0
221,2,0,0,0,0,11
222,2,1,0,0,0,9
223,1,0,0,0,0,0
224,1,0,0,0,0,0
