developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,0,0,0,0,0,153
1,0,0,0,0,0,35
2,0,0,0,0,0,61
3,0,0,0,0,0,570
4,0,0,0,0,0,327
5,0,0,0,0,0,10
6,0,0,0,0,0,40
7,0,0,0,0,0,45
8,0,0,0,0,0,14
9,0,0,0,0,0,3
10,0,0,0,0,0,99
11,0,0,0,0,0,52
12,0,0,0,0,0,6
13,0,0,0,0,0,1
14,0,0,0,0,0,67
15,0,0,0,0,0,120
16,0,0,0,0,0,44
17,0,0,0,0,0,72
18,0,0,0,0,0,73
19,0,0,0,0,0,60
20,0,0,0,0,0,124
21,0,0,0,0,0,21
22,0,0,0,0,0,58
23,0,0,0,0,0,58
24,0,0,0,0,0,19
25,0,0,0,0,0,147
26,0,0,0,0,0,5
27,0,0,0,0,0,13
28,0,0,0,0,0,13
29,0,0,0,0,0,95
30,0,0,0,0,0,156
31,0,0,0,0,0,1
32,0,0,0,0,0,4
33,0,0,0,0,0,5
34,0,0,0,0,0,91
35,0,0,0,0,0,2
36,0,0,0,0,0,1
37,0,0,0,0,0,8
38,0,0,0,0,0,12
39,0,0,0,0,0,91
40,0,0,0,0,0,47
41,0,0,0,0,0,32
42,0,0,0,0,0,138
43,0,0,0,0,0,3
44,0,0,0,0,0,2
45,0,0,0,0,0,33
46,0,0,0,0,0,2
47,0,0,0,0,0,1
48,0,0,0,0,0,55
49,0,0,0,0,0,9
50,0,0,0,0,0,17
51,0,0,0,0,0,1
52,0,0,0,0,0,1
53,0,0,0,0,0,1
54,0,0,0,0,0,237
55,0,0,0,0,0,13
56,0,0,0,0,0,68
57,0,0,0,0,0,2
58,0,0,0,0,0,10
59,0,0,0,0,0,1
60,0,0,0,0,0,70
61,0,0,0,0,0,1
62,0,0,0,0,0,77
63,0,0,0,0,0,2
64,0,0,0,0,0,4
65,0,0,0,0,0,1
66,0,0,0,0,0,4
67,0,0,0,0,0,2
68,0,0,0,0,0,1
69,0,0,0,0,0,1
70,0,0,0,0,0,12
71,0,0,0,0,0,1
72,0,0,0,0,0,5
73,0,0,0,0,0,1
74,0,0,0,0,0,8
75,0,0,0,0,0,36
76,0,0,0,0,0,3
77,0,0,0,0,0,6
78,0,0,0,0,0,1
79,0,0,0,0,0,1
80,0,0,0,0,0,1
81,0,0,0,0,0,10
82,0,0,0,0,0,1
83,0,0,0,0,0,23
84,0,0,0,0,0,1
85,0,0,0,0,0,2
86,0,0,0,0,0,2
87,0,0,0,0,0,7
88,0,0,0,0,0,1
89,0,0,0,0,0,12
90,0,0,0,0,0,5
91,0,0,0,0,0,1
92,0,0,0,0,0,5
93,0,0,0,0,0,1
94,0,0,0,0,0,82
95,0,0,0,0,0,35
96,0,0,0,0,0,40
97,0,0,0,0,0,1
98,0,0,0,0,0,1
99,0,0,0,0,0,2
100,0,0,0,0,0,1
101,0,0,0,0,0,2
102,0,0,0,0,0,1
103,0,0,0,0,0,7
104,0,0,0,0,0,1
105,0,0,0,0,0,3
106,0,0,0,0,0,1
107,0,0,0,0,0,33
108,0,0,0,0,0,10
109,0,0,0,0,0,1
110,0,0,0,0,0,1
111,0,0,0,0,0,1
112,0,0,0,0,0,11
113,0,0,0,0,0,1
114,0,0,0,0,0,149
115,0,0,0,0,0,1
116,0,0,0,0,0,1
117,0,0,0,0,0,6
118,0,0,0,0,0,4
119,0,0,0,0,0,5
120,0,0,0,0,0,22
121,0,0,0,0,0,1
122,0,0,0,0,0,9
123,0,0,0,0,0,1
124,0,0,0,0,0,1
125,0,0,0,0,0,2
126,0,0,0,0,0,10
127,0,0,0,0,0,1
128,0,0,0,0,0,2
129,0,0,0,0,0,1
130,0,0,0,0,0,23
131,0,0,0,0,0,58
132,0,0,0,0,0,1
133,0,0,0,0,0,25
134,0,0,0,0,0,1
135,0,0,0,0,0,35
136,0,0,0,0,0,2
137,0,0,0,0,0,1
138,0,0,0,0,0,2
139,0,0,0,0,0,2
140,0,0,0,0,0,10
141,0,0,0,0,0,1
142,0,0,0,0,0,1
143,0,0,0,0,0,63
144,0,0,0,0,0,1
145,0,0,0,0,0,4
146,0,0,0,0,0,1
147,0,0,0,0,0,1
148,0,0,0,0,0,4
149,0,0,0,0,0,7
150,0,0,0,0,0,49
151,0,0,0,0,0,2
152,0,0,0,0,0,14
153,0,0,0,0,0,76
154,0,0,0,0,0,12
155,0,0,0,0,0,1
156,0,0,0,0,0,1
157,0,0,0,0,0,1
158,0,0,0,0,0,1
159,0,0,0,0,0,3
160,0,0,0,0,0,1
161,0,0,0,0,0,1
162,0,0,0,0,0,71
163,0,0,0,0,0,26
164,0,0,0,0,0,15
165,0,0,0,0,0,61
166,0,0,0,0,0,1
167,0,0,0,0,0,1
168,0,0,0,0,0,1
169,0,0,0,0,0,106
170,0,0,0,0,0,8
171,0,0,0,0,0,77
172,0,0,0,0,0,41
173,0,0,0,0,0,3
174,0,0,0,0,0,7
175,0,0,0,0,0,1
176,0,0,0,0,0,1
177,0,0,0,0,0,7
178,0,0,0,0,0,34
179,0,0,0,0,0,1
180,0,0,0,0,0,44
181,0,0,0,0,0,1
182,0,0,0,0,0,1
183,0,0,0,0,0,1
184,0,0,0,0,0,1
185,0,0,0,0,0,8
186,0,0,0,0,0,1
187,0,0,0,0,0,1
188,0,0,0,0,0,1
189,0,0,0,0,0,10
190,0,0,0,0,0,1
191,0,0,0,0,0,22
192,0,0,0,0,0,1
193,0,0,0,0,0,11
194,0,0,0,0,0,1
195,0,0,0,0,0,84
196,0,0,0,0,0,1
197,0,0,0,0,0,2
198,0,0,0,0,0,1
199,0,0,0,0,0,1
200,0,0,0,0,0,2
201,0,0,0,0,0,1
202,0,0,0,0,0,1
203,0,0,0,0,0,20
204,0,0,0,0,0,2
205,0,0,0,0,0,6
206,0,0,0,0,0,5
207,0,0,0,0,0,13
208,0,0,0,0,0,1
209,0,0,0,0,0,1
210,0,0,0,0,0,5
211,0,0,0,0,0,1
212,0,0,0,0,0,1
213,0,0,0,0,0,1
214,0,0,0,0,0,1
215,0,0,0,0,0,2
216,0,0,0,0,0,5
217,0,0,0,0,0,11
218,0,0,0,0,0,1
219,0,0,0,0,0,1
220,0,0,0,0,0,10
221,0,0,0,0,0,1
222,0,0,0,0,0,14
223,0,0,0,0,0,1
224,0,0,0,0,0,4
225,0,0,0,0,0,1
226,0,0,0,0,0,1
227,0,0,0,0,0,11
228,0,0,0,0,0,2
229,0,0,0,0,0,8
230,0,0,0,0,0,45
231,0,0,0,0,0,22
232,0,0,0,0,0,1
233,0,0,0,0,0,7
234,0,0,0,0,0,142
235,0,0,0,0,0,1
236,0,0,0,0,0,11
237,0,0,0,0,0,20
238,0,0,0,0,0,1
239,0,0,0,0,0,1
240,0,0,0,0,0,1
241,0,0,0,0,0,1
242,0,0,0,0,0,3
243,0,0,0,0,0,1
244,0,0,0,0,0,2
245,0,0,0,0,0,20
246,0,0,0,0,0,1
247,0,0,0,0,0,2
248,0,0,0,0,0,2
249,0,0,0,0,0,2
250,0,0,0,0,0,1
251,0,0,0,0,0,5
252,0,0,0,0,0,4
253,0,0,0,0,0,1
254,0,0,0,0,0,29
255,0,0,0,0,0,1
256,0,0,0,0,0,74
257,0,0,0,0,0,2
258,0,0,0,0,0,13
259,0,0,0,0,0,1
260,0,0,0,0,0,1
261,0,0,0,0,0,1
262,0,0,0,0,0,1
263,0,0,0,0,0,1
264,0,0,0,0,0,1
265,0,0,0,0,0,2
266,0,0,0,0,0,3
267,0,0,0,0,0,1
268,0,0,0,0,0,2
269,0,0,0,0,0,1
270,0,0,0,0,0,1
271,0,0,0,0,0,1
272,0,0,0,0,0,1
273,0,0,0,0,0,1
274,0,0,0,0,0,1
275,0,0,0,0,0,1
276,0,0,0,0,0,1
277,0,0,0,0,0,16
278,0,0,0,0,0,1
279,0,0,0,0,0,7
280,0,0,0,0,0,1
281,0,0,0,0,0,14
282,0,0,0,0,0,1
283,0,0,0,0,0,2
284,0,0,0,0,0,1
285,0,0,0,0,0,7
286,0,0,0,0,0,5
287,0,0,0,0,0,7
288,0,0,0,0,0,4
289,0,0,0,0,0,2
290,0,0,0,0,0,8
291,0,0,0,0,0,1
292,0,0,0,0,0,1
293,0,0,0,0,0,7
294,0,0,0,0,0,1
295,0,0,0,0,0,4
296,0,0,0,0,0,1
297,0,0,0,0,0,8
298,0,0,0,0,0,1
299,0,0,0,0,0,1
300,0,0,0,0,0,1
301,0,0,0,0,0,2
302,0,0,0,0,0,1
303,0,0,0,0,0,1
304,0,0,0,0,0,1
305,0,0,0,0,0,1
306,0,0,0,0,0,5
307,0,0,0,0,0,2
308,0,0,0,0,0,1
309,0,0,0,0,0,2
310,0,0,0,0,0,3
311,0,0,0,0,0,2
312,0,0,0,0,0,17
313,0,0,0,0,0,2
314,0,0,0,0,0,1
315,0,0,0,0,0,6
316,0,0,0,0,0,1
317,0,0,0,0,0,4
318,0,0,0,0,0,1
319,0,0,0,0,0,3
320,0,0,0,0,0,1
321,0,0,0,0,0,1
322,0,0,0,0,0,2
323,0,0,0,0,0,1
324,0,0,0,0,0,1
325,0,0,0,0,0,1
326,0,0,0,0,0,1
327,0,0,0,0,0,1
328,0,0,0,0,0,6
329,0,0,0,0,0,1
330,0,0,0,0,0,6
331,0,0,0,0,0,1
332,0,0,0,0,0,1
333,0,0,0,0,0,1
334,0,0,0,0,0,1
335,0,0,0,0,0,5
336,0,0,0,0,0,1
337,0,0,0,0,0,1
338,0,0,0,0,0,2
339,0,0,0,0,0,4
340,0,0,0,0,0,23
341,0,0,0,0,0,1
342,0,0,0,0,0,5
343,0,0,0,0,0,1
344,0,0,0,0,0,1
345,0,0,0,0,0,1
346,0,0,0,0,0,1
347,0,0,0,0,0,1
