developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,79,61,0,0,0,173
1,63,62,0,0,0,609
2,213,428,0,0,0,539
3,10,9,0,0,0,266
4,2,0,0,0,0,0
5,1,0,0,0,0,0
6,54,36,0,0,0,519
7,5,2,0,0,0,11
8,1,1,0,0,0,0
9,5,0,0,0,0,0
10,1,0,0,0,0,0
11,1,0,0,0,0,0
12,1,0,0,0,0,0
13,3,0,0,0,0,0
14,3,0,0,0,0,0
15,1,0,0,0,0,0
16,2,2,0,0,0,6
17,1,0,0,0,0,1
18,1,0,0,0,0,1
19,26,10,0,0,0,113
20,4,1,0,0,0,49
21,1,0,0,0,0,0
22,2,0,0,0,0,0
23,1,0,0,0,0,0
24,3,0,0,0,0,2
25,3,1,0,0,0,0
26,2,0,0,0,0,0
27,1,0,0,0,0,0
28,1,0,0,0,0,0
29,2,0,0,0,0,0
30,8,0,0,0,0,0
31,1,1,0,0,0,0
32,1,0,0,0,0,0
33,1,0,0,0,0,0
34,1,0,0,0,0,0
35,1,0,0,0,0,0
36,1,0,0,0,0,0
37,2,0,0,0,0,0
38,1,0,0,0,0,0
39,1,0,0,0,0,17
40,1,0,0,0,0,0
41,2,0,0,0,0,0
42,1,0,0,0,0,0
43,1,1,0,0,0,0
44,2,0,0,0,0,0
45,1,1,0,0,0,0
46,1,0,0,0,0,0
47,1,0,0,0,0,0
48,2,1,0,0,0,0
49,2,0,0,0,0,0
50,1,0,0,0,0,0
51,3,1,0,0,0,0
52,1,0,0,0,0,0
53,2,0,0,0,0,0
54,1,0,0,0,0,0
55,8,3,0,0,0,1
56,7,0,0,0,0,19
57,1,0,0,0,0,0
58,39,20,0,0,0,2
59,1,0,0,0,0,0
60,1,0,0,0,0,0
61,14,2,0,0,0,0
62,1,0,0,0,0,0
63,1,1,0,0,0,0
64,1,0,0,0,0,0
65,1,0,0,0,0,0
66,5,0,0,0,0,0
67,2,0,0,0,0,0
68,1,0,0,0,0,0
69,1,0,0,0,0,0
70,1,0,0,0,0,0
71,1,0,0,0,0,0
72,4,0,0,0,0,1
73,1,0,0,0,0,0
74,33,5,0,0,0,34
75,1,0,0,0,0,0
76,1,0,0,0,0,0
77,1,0,0,0,0,0
78,3,1,0,0,0,2
79,12,4,0,0,0,208
80,36,28,0,0,0,17
81,1,0,0,0,0,16
82,2,0,0,0,0,0
83,6,2,0,0,0,0
84,1,0,0,0,0,0
85,1,0,0,0,0,0
86,2,0,0,0,0,0
87,2,0,0,0,0,0
88,1,0,0,0,0,0
89,1,0,0,0,0,0
90,1,1,0,0,0,0
91,17,1,0,0,0,158
92,20,13,0,0,0,3
93,1,0,0,0,0,0
94,5,2,0,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,0
97,1,0,0,0,0,1
98,6,2,0,0,0,3
99,1,0,0,0,0,0
100,4,1,0,0,0,5
101,1,0,0,0,0,0
102,2,0,0,0,0,0
103,1,0,0,0,0,0
104,1,0,0,0,0,0
105,2,0,0,0,0,0
106,1,1,0,0,0,0
107,1,0,0,0,0,0
108,1,0,0,0,0,0
109,1,1,0,0,0,0
110,1,1,0,0,0,0
111,1,0,0,0,0,0
112,1,0,0,0,0,0
113,1,1,0,0,0,0
114,3,0,0,0,0,1
115,1,0,0,0,0,0
116,24,29,0,0,0,32
117,1,0,0,0,0,0
118,1,0,0,0,0,0
119,2,0,0,0,0,0
120,1,0,0,0,0,0
121,1,0,0,0,0,0
122,1,0,0,0,0,0
123,15,0,0,0,0,0
124,1,0,0,0,0,0
125,7,1,0,0,0,2
126,3,0,0,0,0,0
127,1,0,0,0,0,0
128,1,0,0,0,0,0
129,1,0,0,0,0,0
130,1,0,0,0,0,0
131,1,1,0,0,0,0
132,3,0,0,0,0,0
133,1,0,0,0,0,0
134,1,0,0,0,0,0
135,2,0,0,0,0,0
136,6,1,0,0,0,1
137,1,0,0,0,0,0
138,1,0,0,0,0,0
139,2,0,0,0,0,0
140,2,0,0,0,0,0
141,1,0,0,0,0,0
142,2,2,0,0,0,0
143,1,1,0,0,0,0
144,1,1,0,0,0,0
145,1,1,0,0,0,0
146,1,0,0,0,0,0
147,1,0,0,0,0,0
148,1,0,0,0,0,0
149,2,0,0,0,0,0
150,2,1,0,0,0,0
151,1,0,0,0,0,0
152,1,0,0,0,0,0
153,1,1,0,0,0,0
154,1,0,0,0,0,0
155,1,0,0,0,0,0
156,0,0,0,0,0,1
157,0,0,0,0,0,37
158,0,0,0,0,0,1
159,0,0,0,0,0,19
160,0,0,0,0,0,1
