developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,54,444,46,0,12,5419
1,48,110,38,0,10,917
2,2,2,2,0,0,7
3,61,72,57,0,21,500
4,2,2,1,0,0,3
5,3,2,2,0,0,3
6,3,3,3,0,0,0
7,1,1,1,0,0,1
8,1,0,1,0,0,25
9,2,2,2,0,0,0
10,2,2,2,0,0,0
11,22,138,0,0,0,1335
12,5,2,4,0,0,30
13,49,61,1,0,0,52
14,1,1,1,0,0,0
15,1,1,1,0,0,0
16,11,6,6,0,0,100
17,6,13,1,0,0,817
18,3,3,3,0,0,225
19,5,3,4,0,0,18
20,1,1,1,0,0,0
21,9,12,9,0,1,4
22,2,2,2,0,0,1
23,9,8,7,0,0,12
24,4,4,4,0,0,2
25,1,0,1,0,0,1
26,7,6,6,0,0,9
27,1,1,1,0,0,3
28,2,2,2,0,0,64
29,6,7,6,0,0,3
30,1,1,1,0,0,1
31,5,5,5,0,0,11
32,1,1,1,0,0,1
33,1,2,1,0,0,0
34,1,1,1,0,0,1
35,2,3,2,0,0,1
36,11,3,5,0,0,56
37,1,1,1,0,0,1
38,1,2,1,0,0,0
39,2,3,2,0,0,10
40,1,1,1,0,0,6
41,2,2,2,0,0,5
42,2,2,1,0,0,3
43,1,1,1,0,0,0
44,1,1,1,0,0,0
45,8,9,7,0,1,1
46,7,5,1,0,2,472
47,619,468,3,0,0,15
48,1,1,1,0,0,1
49,1,1,1,0,0,5
50,2,2,2,0,0,1
51,1,2,1,0,0,176
52,11,47,4,0,11,2065
53,5,5,5,0,0,0
54,1,1,1,0,0,5
55,1,1,1,0,0,1
56,1,2,1,0,0,5
57,9,2,1,0,0,69
58,5,6,2,0,0,1525
59,2,2,2,0,0,4
60,1,1,1,0,0,0
61,0,59,0,0,0,1776
62,1,1,1,0,0,0
63,1,0,1,0,0,1
64,5,6,4,0,0,2
65,1,0,1,0,0,0
66,20,66,3,0,1,339
67,3,0,2,0,0,7
68,1,2,1,0,0,0
69,2,0,1,0,0,14
70,2,0,1,0,0,6
71,1,0,0,0,0,0
72,1,0,0,0,0,2
73,1,0,0,0,0,2
74,4,0,0,0,0,24
75,2,0,0,0,0,2
76,1,0,0,0,0,0
77,1,0,0,0,0,0
78,5,0,0,0,0,50
79,1,0,0,0,0,1
80,5,3,0,0,0,18
81,2,1,0,0,0,1
82,1,0,0,0,0,1
83,1,0,0,0,0,0
84,1,13,0,0,0,740
85,9,4,0,0,0,9
86,1,0,0,0,0,0
87,4,0,0,0,0,127
88,1,0,0,0,0,0
89,7,2,0,0,0,5
90,1,0,0,0,0,1
91,1,0,0,0,0,0
92,2,0,0,0,0,8
93,1,0,0,0,0,0
94,1,0,0,0,0,0
95,1,0,0,0,0,1
96,1,0,0,0,0,0
97,2,0,0,0,0,0
98,1,0,0,0,0,0
99,1,0,0,0,0,0
100,0,3,0,0,0,195
101,1,0,0,0,0,0
102,14,0,0,0,0,4
103,1,0,0,0,0,1
104,2,0,0,0,0,0
105,1,0,0,0,0,1
106,2,1,0,0,0,0
107,0,11,0,0,0,1238
108,3,0,0,0,0,0
109,6,1,0,0,0,3
110,0,10,0,0,0,264
111,2,0,0,0,0,0
112,1,0,0,0,0,0
113,1,0,0,0,0,3
114,1,0,0,0,0,0
115,4,0,0,0,0,16
116,1595,1182,0,0,0,0
117,0,8,0,0,0,256
118,0,4,0,0,0,243
119,0,1,0,0,0,10
120,0,1,0,0,0,109
121,2,0,0,0,0,3
122,1,0,0,0,0,0
123,1,0,0,0,0,0
124,1,0,0,0,0,0
125,1,0,0,0,0,0
126,1,0,0,0,0,0
127,2,0,0,0,0,0
128,1,0,0,0,0,0
129,1,0,0,0,0,0
130,2,0,0,0,0,0
131,1,0,0,0,0,0
132,1,0,0,0,0,2
133,1,0,0,0,0,0
134,2,0,0,0,0,0
135,1,0,0,0,0,17
136,1,0,0,0,0,0
137,1,0,0,0,0,4
138,1,0,0,0,0,0
139,1,0,0,0,0,0
140,1,0,0,0,0,0
141,1,0,0,0,0,0
142,1,0,0,0,0,1
143,2,0,0,0,0,0
144,1,0,0,0,0,0
145,1,0,0,0,0,2
146,1,0,0,0,0,2
147,1,0,0,0,0,0
148,0,0,0,0,0,6
149,0,0,0,0,0,4
150,0,0,0,0,0,35
151,0,0,0,0,0,1
152,0,0,0,0,0,21
153,0,0,0,0,0,225
154,0,0,0,0,0,167
155,0,0,0,0,0,15
156,0,0,0,0,0,4
157,0,0,0,0,0,6
158,0,0,0,0,0,655
159,0,0,0,0,0,4
160,0,0,0,0,0,2
161,0,0,0,0,0,1
162,0,0,0,0,0,15
163,0,0,0,0,0,2
164,0,0,0,0,0,1
165,0,0,0,0,0,134
166,0,0,0,0,0,1
167,0,0,0,0,0,1
168,0,0,0,0,0,2
169,0,0,0,0,0,11
170,0,0,0,0,0,1
171,0,0,0,0,0,1
172,0,0,0,0,0,96
173,0,0,0,0,0,7
174,0,0,0,0,0,34
175,0,0,0,0,0,89
176,0,0,0,0,0,2
177,0,0,0,0,0,12
178,0,0,0,0,0,1
179,0,0,0,0,0,46
180,0,0,0,0,0,36
181,0,0,0,0,0,6
182,0,0,0,0,0,1
183,0,0,0,0,0,3
184,0,0,0,0,0,2
185,0,0,0,0,0,67
186,0,0,0,0,0,81
187,0,0,0,0,0,1
188,0,0,0,0,0,43
189,0,0,0,0,0,16
190,0,0,0,0,0,1
191,0,0,0,0,0,1
192,0,0,0,0,0,2
193,0,0,0,0,0,1
194,0,0,0,0,0,1
195,0,0,0,0,0,1
196,0,0,0,0,0,1
197,0,0,0,0,0,14
198,0,0,0,0,0,1
199,0,0,0,0,0,4
200,0,0,0,0,0,1
201,0,0,0,0,0,2
202,0,0,0,0,0,1
203,0,0,0,0,0,6
204,0,0,0,0,0,104
205,0,0,0,0,0,1
206,0,0,0,0,0,1
207,0,0,0,0,0,1
208,0,0,0,0,0,1
209,0,0,0,0,0,1
210,0,0,0,0,0,3
211,0,0,0,0,0,1
212,0,0,0,0,0,3
213,0,0,0,0,0,1
214,0,0,0,0,0,29
215,0,0,0,0,0,7
216,0,0,0,0,0,155
217,0,0,0,0,0,1
218,0,0,0,0,0,2
219,0,0,0,0,0,8
220,0,0,0,0,0,1
221,0,0,0,0,0,11
222,0,0,0,0,0,28
223,0,0,0,0,0,2
224,0,0,0,0,0,1
225,0,0,0,0,0,7
226,0,0,0,0,0,3
227,0,0,0,0,0,2
228,0,0,0,0,0,1
229,0,0,0,0,0,1
230,0,0,0,0,0,1
231,0,0,0,0,0,3
232,0,0,0,0,0,2
233,0,0,0,0,0,2
234,0,0,0,0,0,1102
235,0,0,0,0,0,6
236,0,0,0,0,0,1
237,0,0,0,0,0,1
238,0,0,0,0,0,6
239,0,0,0,0,0,1
240,0,0,0,0,0,2
241,0,0,0,0,0,1
242,0,0,0,0,0,16
243,0,0,0,0,0,1
244,0,0,0,0,0,1
245,0,0,0,0,0,2
246,0,0,0,0,0,6
247,0,0,0,0,0,1
248,0,0,0,0,0,1
249,0,0,0,0,0,1
250,0,0,0,0,0,1
251,0,0,0,0,0,3
252,0,0,0,0,0,1
253,0,0,0,0,0,1
254,0,0,0,0,0,1
255,0,0,0,0,0,1
256,0,0,0,0,0,7
257,0,0,0,0,0,1
258,0,0,0,0,0,7
259,0,0,0,0,0,4
260,0,0,0,0,0,10
261,0,0,0,0,0,1
262,0,0,0,0,0,11
263,0,0,0,0,0,1
264,0,0,0,0,0,3
265,0,0,0,0,0,1
266,0,0,0,0,0,1
267,0,0,0,0,0,2
268,0,0,0,0,0,10
269,0,0,0,0,0,1
270,0,0,0,0,0,3
271,0,0,0,0,0,12
272,0,0,0,0,0,3
273,0,0,0,0,0,1
274,0,0,0,0,0,4
275,0,0,0,0,0,1
276,0,0,0,0,0,1
277,0,0,0,0,0,3
278,0,0,0,0,0,5
279,0,0,0,0,0,2
280,0,0,0,0,0,17
281,0,0,0,0,0,111
282,0,0,0,0,0,1
283,0,0,0,0,0,1
284,0,0,0,0,0,2
285,0,0,0,0,0,1
286,0,0,0,0,0,1
287,0,0,0,0,0,1
288,0,0,0,0,0,24
289,0,0,0,0,0,1
290,0,0,0,0,0,1
291,0,0,0,0,0,1
292,0,0,0,0,0,1
293,0,0,0,0,0,1
294,0,0,0,0,0,1
295,0,0,0,0,0,10
296,0,0,0,0,0,1
297,0,0,0,0,0,1
298,0,0,0,0,0,1
299,0,0,0,0,0,1
300,0,0,0,0,0,1
301,0,0,0,0,0,1
302,0,0,0,0,0,1
303,0,0,0,0,0,1
304,0,0,0,0,0,4
305,0,0,0,0,0,109
306,0,0,0,0,0,14
307,0,0,0,0,0,9
308,0,0,0,0,0,1
309,0,0,0,0,0,1
310,0,0,0,0,0,1
311,0,0,0,0,0,1
312,0,0,0,0,0,4
313,0,0,0,0,0,24
314,0,0,0,0,0,1
315,0,0,0,0,0,5
316,0,0,0,0,0,1
317,0,0,0,0,0,10
318,0,0,0,0,0,1
319,0,0,0,0,0,2
320,0,0,0,0,0,1
321,0,0,0,0,0,1
322,0,0,0,0,0,10
323,0,0,0,0,0,3
324,0,0,0,0,0,6
325,0,0,0,0,0,4
326,0,0,0,0,0,1
327,0,0,0,0,0,5
328,0,0,0,0,0,8
329,0,0,0,0,0,17
330,0,0,0,0,0,3
331,0,0,0,0,0,1
332,0,0,0,0,0,1
333,0,0,0,0,0,2
334,0,0,0,0,0,2
335,0,0,0,0,0,1
336,0,0,0,0,0,5
337,0,0,0,0,0,13
338,0,0,0,0,0,1
339,0,0,0,0,0,7
340,0,0,0,0,0,1
341,0,0,0,0,0,2
342,0,0,0,0,0,2
343,0,0,0,0,0,1
344,0,0,0,0,0,1
345,0,0,0,0,0,2
346,0,0,0,0,0,8
347,0,0,0,0,0,1
348,0,0,0,0,0,44
349,0,0,0,0,0,2
350,0,0,0,0,0,3
351,0,0,0,0,0,1
352,0,0,0,0,0,12
353,0,0,0,0,0,1
354,0,0,0,0,0,3
355,0,0,0,0,0,1
356,0,0,0,0,0,2
357,0,0,0,0,0,5
358,0,0,0,0,0,1
359,0,0,0,0,0,1
360,0,0,0,0,0,4
361,0,0,0,0,0,1
362,0,0,0,0,0,4
363,0,0,0,0,0,1
364,0,0,0,0,0,2
365,0,0,0,0,0,3
366,0,0,0,0,0,12
367,0,0,0,0,0,1
368,0,0,0,0,0,1
369,0,0,0,0,0,5
370,0,0,0,0,0,3
371,0,0,0,0,0,1
372,0,0,0,0,0,5
373,0,0,0,0,0,1
374,0,0,0,0,0,5
375,0,0,0,0,0,4
376,0,0,0,0,0,4
377,0,0,0,0,0,1
378,0,0,0,0,0,1
379,0,0,0,0,0,1
380,0,0,0,0,0,1
381,0,0,0,0,0,1
382,0,0,0,0,0,6
383,0,0,0,0,0,3
384,0,0,0,0,0,1
385,0,0,0,0,0,1
386,0,0,0,0,0,1
387,0,0,0,0,0,1
388,0,0,0,0,0,1
389,0,0,0,0,0,9
390,0,0,0,0,0,1
391,0,0,0,0,0,2
392,0,0,0,0,0,2
393,0,0,0,0,0,2
394,0,0,0,0,0,1
395,0,0,0,0,0,1
396,0,0,0,0,0,1
397,0,0,0,0,0,1
398,0,0,0,0,0,6
399,0,0,0,0,0,49
400,0,0,0,0,0,1
401,0,0,0,0,0,1
402,0,0,0,0,0,2
403,0,0,0,0,0,60
404,0,0,0,0,0,47
405,0,0,0,0,0,1
406,0,0,0,0,0,1
407,0,0,0,0,0,2
408,0,0,0,0,0,1
409,0,0,0,0,0,1
410,0,0,0,0,0,6
411,0,0,0,0,0,1
412,0,0,0,0,0,1
413,0,0,0,0,0,2
414,0,0,0,0,0,1
415,0,0,0,0,0,8
416,0,0,0,0,0,1
417,0,0,0,0,0,1
418,0,0,0,0,0,1
419,0,0,0,0,0,1
420,0,0,0,0,0,1
421,0,0,0,0,0,1
422,0,0,0,0,0,1
423,0,0,0,0,0,1
424,0,0,0,0,0,67
425,0,0,0,0,0,20
426,0,0,0,0,0,39
427,0,0,0,0,0,1
428,0,0,0,0,0,1
429,0,0,0,0,0,1
430,0,0,0,0,0,6
431,0,0,0,0,0,3
432,0,0,0,0,0,1
433,0,0,0,0,0,1
434,0,0,0,0,0,8
435,0,0,0,0,0,1
436,0,0,0,0,0,2
437,0,0,0,0,0,1
438,0,0,0,0,0,1
439,0,0,0,0,0,1
440,0,0,0,0,0,1
441,0,0,0,0,0,1
442,0,0,0,0,0,1
443,0,0,0,0,0,1
444,0,0,0,0,0,2
445,0,0,0,0,0,1
446,0,0,0,0,0,25
447,0,0,0,0,0,1
448,0,0,0,0,0,1
449,0,0,0,0,0,1
450,0,0,0,0,0,1
451,0,0,0,0,0,19
452,0,0,0,0,0,1
453,0,0,0,0,0,28
454,0,0,0,0,0,1
455,0,0,0,0,0,3
456,0,0,0,0,0,1
457,0,0,0,0,0,1
458,0,0,0,0,0,5
459,0,0,0,0,0,4
460,0,0,0,0,0,1
461,0,0,0,0,0,3
462,0,0,0,0,0,1
463,0,0,0,0,0,9
464,0,0,0,0,0,1
465,0,0,0,0,0,1
466,0,0,0,0,0,1
467,0,0,0,0,0,1
468,0,0,0,0,0,2
469,0,0,0,0,0,10
470,0,0,0,0,0,24
471,0,0,0,0,0,3
472,0,0,0,0,0,1
473,0,0,0,0,0,1
474,0,0,0,0,0,5
475,0,0,0,0,0,57
476,0,0,0,0,0,1
477,0,0,0,0,0,3
478,0,0,0,0,0,3
479,0,0,0,0,0,1
480,0,0,0,0,0,1
481,0,0,0,0,0,10
482,0,0,0,0,0,4
483,0,0,0,0,0,1
484,0,0,0,0,0,3
485,0,0,0,0,0,2
486,0,0,0,0,0,1
487,0,0,0,0,0,2
488,0,0,0,0,0,3
489,0,0,0,0,0,6
490,0,0,0,0,0,2
491,0,0,0,0,0,5
492,0,0,0,0,0,1
493,0,0,0,0,0,3
494,0,0,0,0,0,1
495,0,0,0,0,0,1
496,0,0,0,0,0,1
497,0,0,0,0,0,20
498,0,0,0,0,0,1
499,0,0,0,0,0,4
500,0,0,0,0,0,18
501,0,0,0,0,0,1
502,0,0,0,0,0,1
503,0,0,0,0,0,6
504,0,0,0,0,0,4
505,0,0,0,0,0,1
506,0,0,0,0,0,2
507,0,0,0,0,0,53
508,0,0,0,0,0,3
509,0,0,0,0,0,8
510,0,0,0,0,0,2
511,0,0,0,0,0,1
512,0,0,0,0,0,5
513,0,0,0,0,0,2
514,0,0,0,0,0,2
515,0,0,0,0,0,12
516,0,0,0,0,0,1
517,0,0,0,0,0,1
518,0,0,0,0,0,1
519,0,0,0,0,0,6
520,0,0,0,0,0,4
521,0,0,0,0,0,2
522,0,0,0,0,0,1
523,0,0,0,0,0,1
524,0,0,0,0,0,1
525,0,0,0,0,0,1
526,0,0,0,0,0,1
527,0,0,0,0,0,50
528,0,0,0,0,0,1
529,0,0,0,0,0,1
530,0,0,0,0,0,15
531,0,0,0,0,0,2
532,0,0,0,0,0,1
533,0,0,0,0,0,1
534,0,0,0,0,0,1
535,0,0,0,0,0,1
536,0,0,0,0,0,1
537,0,0,0,0,0,2
538,0,0,0,0,0,1
539,0,0,0,0,0,1
540,0,0,0,0,0,1
541,0,0,0,0,0,21
542,0,0,0,0,0,1
543,0,0,0,0,0,2
544,0,0,0,0,0,1
545,0,0,0,0,0,1
546,0,0,0,0,0,1
547,0,0,0,0,0,1
548,0,0,0,0,0,1
549,0,0,0,0,0,1
550,0,0,0,0,0,1
551,0,0,0,0,0,1
552,0,0,0,0,0,1
553,0,0,0,0,0,5
554,0,0,0,0,0,1
555,0,0,0,0,0,1
556,0,0,0,0,0,1
557,0,0,0,0,0,1
558,0,0,0,0,0,1
559,0,0,0,0,0,25
560,0,0,0,0,0,1
561,0,0,0,0,0,1
562,0,0,0,0,0,1
563,0,0,0,0,0,2
564,0,0,0,0,0,9
565,0,0,0,0,0,3
566,0,0,0,0,0,1
567,0,0,0,0,0,1
568,0,0,0,0,0,1
569,0,0,0,0,0,1
570,0,0,0,0,0,12
571,0,0,0,0,0,1
572,0,0,0,0,0,1
573,0,0,0,0,0,1
574,0,0,0,0,0,2
575,0,0,0,0,0,2
576,0,0,0,0,0,1
577,0,0,0,0,0,2
578,0,0,0,0,0,7
579,0,0,0,0,0,3
580,0,0,0,0,0,1
581,0,0,0,0,0,1
582,0,0,0,0,0,8
583,0,0,0,0,0,29
584,0,0,0,0,0,11
585,0,0,0,0,0,2
