developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,1,1,0,0,0,117
1,0,0,0,0,0,1
2,0,0,0,0,0,9
3,0,0,0,0,0,2
4,0,0,0,0,0,17
5,0,0,0,0,0,1
6,0,0,0,0,0,2
7,0,0,0,0,0,1
8,0,0,0,0,0,3
9,0,0,0,0,0,30
10,0,0,0,0,0,1
11,0,0,0,0,0,1
12,0,0,0,0,0,4
13,0,0,0,0,0,1
14,0,0,0,0,0,1
15,0,0,0,0,0,1
16,0,0,0,0,0,1
17,0,0,0,0,0,2
18,0,0,0,0,0,1
19,0,0,0,0,0,1
20,0,0,0,0,0,2
21,0,0,0,0,0,3
22,0,0,0,0,0,1
23,0,0,0,0,0,1
24,0,0,0,0,0,1
25,0,0,0,0,0,1
26,0,0,0,0,0,1
27,0,0,0,0,0,8
28,0,0,0,0,0,1
29,0,0,0,0,0,1
30,0,0,0,0,0,2
31,0,0,0,0,0,1
32,0,0,0,0,0,1
33,0,0,0,0,0,2
