Developer,Num_bugs,PR_opened,PR_closed,PR_merged,Num_commits
0,1,1,1,0,0
1,1,0,0,0,0
2,3,4,0,0,6
3,166,57,1,107,186
4,251,47,2,132,253
5,2,5,3,0,0
6,3,0,0,0,0
7,1,0,0,0,0
8,1,0,0,0,0
9,1,1,1,0,0
10,38,39,3,0,43
11,1,0,0,0,0
12,47,8,0,42,14
13,10,10,1,1,14
14,8,2,0,1,5
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
18,1,0,0,0,0
19,1,2,1,0,1
20,1,0,0,0,0
21,55,36,6,25,76
22,1,0,0,0,0
23,36,15,2,17,39
24,2,0,0,0,0
25,4,1,0,0,8
26,1,1,1,0,0
27,1,0,0,0,0
28,1,0,0,0,0
29,1,0,0,0,0
30,1,1,1,0,0
31,1,3,0,0,3
32,2,0,0,0,0
33,1,0,0,0,0
34,1,1,1,0,0
35,3,2,0,0,2
36,39,27,0,14,36
37,1,0,0,0,0
38,1,3,2,0,1
39,2,0,0,0,0
40,6,6,0,0,15
41,1,0,0,0,0
42,1,0,0,0,0
43,1,0,0,0,0
44,1,0,0,0,0
45,1,1,0,0,0
46,1,0,0,0,0
47,1,0,0,0,0
48,1,1,1,0,0
49,1,0,0,0,0
50,1,0,0,0,0
51,1,0,0,0,0
52,1,0,0,0,0
53,1,0,0,0,0
54,1,1,1,0,0
55,1,0,0,0,0
56,1,0,0,0,0
57,6,13,1,1,19
58,1,7,2,0,14
59,1,0,0,0,0
60,1,0,0,0,0
61,1,1,1,0,0
62,1,0,0,0,0
63,1,0,0,0,0
64,2,0,0,0,0
65,3,0,0,0,0
66,1,0,0,0,0
67,1,0,0,0,0
68,1,0,0,0,0
69,1,1,1,0,0
70,1,0,0,0,0
71,1,1,1,0,0
72,1,0,0,0,0
73,1,0,0,0,0
74,1,0,0,0,0
75,1,0,0,0,0
76,3,0,0,0,0
77,1,0,0,0,0
78,1,0,0,0,0
79,2,0,0,0,0
80,1,0,0,0,0
81,1,2,1,0,8
82,4,1,0,2,2
83,2,0,0,0,0
84,2,1,1,0,0
85,1,0,0,0,0
86,1,2,0,0,1
87,1,0,0,0,0
88,1,0,0,0,0
89,1,0,0,0,0
90,1,0,0,0,0
91,1,0,0,0,0
92,1,0,0,0,0
93,1,0,0,0,0
94,1,3,1,0,2
95,1,0,0,0,0
96,1,1,1,0,0
97,4,0,0,0,0
98,1,0,0,0,0
99,3,10,3,0,16
100,1,0,0,0,0
101,1,1,1,0,0
102,1,1,1,0,0
103,1,1,1,0,0
104,2,2,2,0,0
105,1,0,0,0,0
106,1,0,0,0,0
107,1,0,0,0,0
108,1,0,0,0,0
109,1,0,0,0,0
110,1,0,0,0,0
111,1,0,0,0,0
112,1,0,0,0,0
113,1,0,0,0,0
114,1,1,1,0,0
115,1,1,1,0,0
116,1,0,0,0,0
117,1,0,0,0,0
118,1,3,1,0,2
119,1,0,0,0,0
120,2,2,0,0,2
121,1,0,0,0,0
122,1,0,0,0,0
123,1,0,0,0,0
124,1,0,0,0,2
125,2,0,0,0,0
126,1,0,0,0,0
127,4,0,0,0,0
128,1,0,0,0,0
129,1,0,0,0,0
130,2,0,0,0,0
131,1,0,0,0,0
132,1,0,0,0,0
133,1,0,0,0,0
134,1,1,1,0,0
135,1,0,0,0,0
136,10,4,0,3,3
137,3,0,0,0,0
138,3,0,0,0,0
139,1,1,1,0,0
140,1,0,0,0,0
141,1,5,1,0,5
142,1,0,0,0,0
143,2,1,0,1,5
144,6,2,1,0,1
145,1,0,0,0,0
146,1,0,0,0,0
147,1,0,0,0,0
148,1,0,0,0,0
149,1,0,0,0,0
150,1,0,0,0,0
151,1,0,0,0,0
152,1,0,0,1,2
153,1,0,0,0,0
154,1,0,0,0,0
155,1,0,0,0,0
156,1,0,0,0,0
157,3,0,0,0,0
158,1,1,1,0,0
159,1,0,0,0,0
160,1,0,0,0,0
161,1,0,0,0,0
162,2,0,0,1,2
163,3,1,0,2,15
164,0,1,0,0,1
165,0,1,1,0,0
166,0,1,0,0,1
167,0,1,1,0,0
168,0,1,0,0,1
169,0,1,0,0,2
170,0,3,0,0,3
171,0,1,1,0,0
172,0,1,1,0,0
173,0,1,0,0,2
174,0,1,1,0,0
175,0,1,0,0,1
176,0,1,0,0,1
177,0,1,0,0,0
178,0,1,0,0,1
179,0,1,1,0,0
180,0,4,0,0,8
181,0,1,1,0,0
182,0,1,0,0,19
183,0,1,1,0,0
184,0,5,1,0,12
185,0,1,0,0,5
186,0,3,0,0,2
187,0,1,1,0,0
188,0,1,1,0,0
189,0,1,0,0,1
190,0,1,1,0,0
191,0,1,0,0,0
192,0,1,0,0,1
193,0,1,1,0,0
194,0,2,0,0,4
195,0,1,0,0,1
196,0,1,0,0,1
197,0,5,0,0,7
198,0,1,0,0,1
199,0,1,1,0,0
200,0,1,1,0,0
201,0,1,0,0,0
202,0,1,0,0,2
203,0,1,1,0,0
204,0,1,1,0,0
205,0,1,0,0,0
206,0,1,1,0,0
207,0,1,1,0,0
208,0,1,1,0,0
209,0,1,0,0,1
210,0,3,3,0,0
211,0,1,0,0,1
212,0,1,0,0,1
213,0,1,1,0,0
214,0,2,0,0,0
215,0,1,1,0,0
216,0,1,1,0,0
217,0,1,1,0,0
218,0,1,1,0,0
219,0,1,1,0,0
220,0,2,0,0,2
221,0,1,0,0,0
222,0,1,0,0,1
223,0,1,1,0,0
224,0,1,0,0,0
225,0,3,3,0,0
226,0,1,0,0,1
227,0,1,0,0,1
228,0,2,0,0,2
229,0,1,1,0,0
230,0,1,0,0,1
231,0,1,0,0,2
232,0,1,1,0,0
233,0,1,0,0,1
