developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,1013,2054,0,0,0,3129
1,3,0,0,0,0,0
2,1,0,0,0,0,0
3,2,1,0,0,0,0
4,6,0,0,0,0,0
5,3,0,0,0,0,0
6,2,0,0,0,0,0
7,1,0,0,0,0,6
8,3,0,0,0,0,0
9,407,0,0,0,0,0
10,1247,3702,0,0,0,4731
11,1,0,0,0,0,0
12,28,11,0,0,0,7
13,1,0,0,0,0,0
14,1,0,0,0,0,0
15,1,0,0,0,0,1
16,1,0,0,0,0,0
17,267,197,0,0,0,246
18,34,10,0,0,0,0
19,1,1,0,0,0,0
20,1,1,0,0,0,0
21,1,0,0,0,0,0
22,4,0,0,0,0,0
23,1,0,0,0,0,1
24,8,1,0,0,0,0
25,3,0,0,0,0,0
26,1,0,0,0,0,0
27,1,0,0,0,0,1
28,25,1,0,0,0,0
29,2,0,0,0,0,0
30,2,0,0,0,0,4
31,149,20,0,0,0,89
32,71,6,0,0,0,29
33,3,2,0,0,0,0
34,1,0,0,0,0,0
35,2,1,0,0,0,0
36,430,462,0,0,0,607
37,3,0,0,0,0,2
38,1,0,0,0,0,0
39,1,0,0,0,0,0
40,1,0,0,0,0,0
41,1,1,0,0,0,0
42,1,0,0,0,0,0
43,2,1,0,0,0,0
44,4,1,0,0,0,0
45,26,7,0,0,0,55
46,4,0,0,0,0,0
47,24,1,0,0,0,1
48,7,0,0,0,0,0
49,30,1,0,0,0,12
50,10,3,0,0,0,1
51,3,0,0,0,0,0
52,1,1,0,0,0,0
53,109,43,0,0,0,77
54,71,59,0,0,0,327
55,5,1,0,0,0,0
56,36,1,0,0,0,43
57,5,0,0,0,0,6
58,2,0,0,0,0,0
59,2,0,0,0,0,1
60,11,0,0,0,0,0
61,6,2,0,0,0,4
62,1,0,0,0,0,0
63,4,1,0,0,0,2
64,6,0,0,0,0,0
65,188,183,0,0,0,160
66,3,0,0,0,0,0
67,1,0,0,0,0,0
68,2,0,0,0,0,0
69,1,0,0,0,0,1
70,2,0,0,0,0,1
71,0,27,0,0,0,245
72,12,0,0,0,0,1
73,1,0,0,0,0,0
74,9,1,0,0,0,0
75,1,0,0,0,0,0
76,54,4,0,0,0,31
77,11,2,0,0,0,4
78,1,0,0,0,0,0
79,8,0,0,0,0,0
80,1,0,0,0,0,0
81,18,7,0,0,0,1
82,8,1,0,0,0,2
83,1,0,0,0,0,0
84,1,0,0,0,0,0
85,1,0,0,0,0,0
86,1,0,0,0,0,1
87,1,0,0,0,0,1
88,66,7,0,0,0,6
89,1,0,0,0,0,0
90,2,0,0,0,0,0
91,9,2,0,0,0,1
92,1,0,0,0,0,0
93,6,0,0,0,0,0
94,1,0,0,0,0,0
95,40,1,0,0,0,0
96,2,0,0,0,0,4
97,202,301,0,0,0,1215
98,4,0,0,0,0,0
99,3,0,0,0,0,0
100,1,0,0,0,0,0
101,1,0,0,0,0,0
102,5,1,0,0,0,0
103,1,1,0,0,0,0
104,1,0,0,0,0,0
105,20,2,0,0,0,2
106,3,0,0,0,0,0
107,2,1,0,0,0,0
108,2,1,0,0,0,4
109,2,0,0,0,0,0
110,1,0,0,0,0,1
111,1,0,0,0,0,0
112,3,0,0,0,0,0
113,3,0,0,0,0,0
114,1,0,0,0,0,6
115,2,0,0,0,0,0
116,2,0,0,0,0,0
117,2,1,0,0,0,0
118,3,0,0,0,0,1
119,1,0,0,0,0,0
120,2,0,0,0,0,0
121,1,0,0,0,0,0
122,1,0,0,0,0,1
123,1,0,0,0,0,3
124,3,0,0,0,0,0
125,1,0,0,0,0,0
126,1,0,0,0,0,0
127,1,0,0,0,0,0
128,16,0,0,0,0,20
129,2,0,0,0,0,0
130,56,4,0,0,0,10
131,3,0,0,0,0,4
132,3,1,0,0,0,0
133,7,2,0,0,0,0
134,10,3,0,0,0,0
135,68,17,0,0,0,9
136,8,0,0,0,0,10
137,5,0,0,0,0,20
138,5,0,0,0,0,0
139,1,0,0,0,0,0
140,14,0,0,0,0,0
141,3,0,0,0,0,0
142,2,0,0,0,0,2
143,1,0,0,0,0,0
144,5,0,0,0,0,0
145,6,0,0,0,0,1
146,5,0,0,0,0,2
147,2,0,0,0,0,0
148,4,0,0,0,0,1
149,2,0,0,0,0,0
150,1,0,0,0,0,0
151,14,2,0,0,0,7
152,1,0,0,0,0,0
153,10,0,0,0,0,111
154,1,0,0,0,0,0
155,1,0,0,0,0,1
156,5,1,0,0,0,0
157,3,0,0,0,0,2
158,17,1,0,0,0,0
159,0,3,0,0,0,159
160,1,0,0,0,0,0
161,11,0,0,0,0,4
162,1,1,0,0,0,0
163,14,3,0,0,0,0
164,2,0,0,0,0,0
165,1,0,0,0,0,0
166,1,0,0,0,0,1
167,6,1,0,0,0,0
168,8,1,0,0,0,6
169,0,2,0,0,0,581
170,1,1,0,0,0,0
171,1,0,0,0,0,0
172,1,0,0,0,0,0
173,1,0,0,0,0,5
174,4,0,0,0,0,0
175,1,0,0,0,0,0
176,5,0,0,0,0,14
177,7,0,0,0,0,1
178,142,16,0,0,0,409
179,1,0,0,0,0,0
180,2,0,0,0,0,0
181,140,183,0,0,0,653
182,1,1,0,0,0,0
183,1,0,0,0,0,1
184,5,1,0,0,0,5
185,1,0,0,0,0,0
186,3,0,0,0,0,0
187,1,1,0,0,0,0
188,1,1,0,0,0,0
189,8,0,0,0,0,0
190,1,0,0,0,0,0
191,1,0,0,0,0,0
192,2,0,0,0,0,0
193,1,1,0,0,0,0
194,2,0,0,0,0,2
195,2,0,0,0,0,0
196,1,0,0,0,0,1
197,4,0,0,0,0,0
198,1,0,0,0,0,1
199,1,0,0,0,0,0
200,0,68,0,0,0,459
201,1,1,0,0,0,0
202,2,0,0,0,0,0
203,13,2,0,0,0,0
204,1,0,0,0,0,0
205,3,0,0,0,0,0
