developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,3,1,1,0,0,1
1,78,148,56,0,157,840
2,21,138,88,0,109,890
3,25,5,17,0,0,36
4,20,14,108,0,53,626
5,22,3,8,0,0,45
6,0,4,0,0,0,102
7,1,0,0,0,0,0
8,7,3,6,0,0,55
9,1,0,0,0,0,5
10,0,1,0,0,0,516
11,38,3,1,0,0,0
12,6,1,4,0,0,19
13,4,0,0,0,0,0
14,4,0,8,0,0,266
15,6,0,1,0,0,1
16,4,1,0,0,0,1
17,1,0,0,0,0,0
18,3,0,0,0,0,0
19,1,0,3,0,0,3
20,0,2,0,0,0,42
21,3,1,1,0,0,2
22,1,0,0,0,0,1
23,2,1,0,0,0,0
24,1,1,1,0,0,57
25,1,0,0,0,0,2
26,1,1,0,0,0,0
27,1,0,0,0,0,0
28,1,0,0,0,0,0
29,1,0,0,0,0,0
30,4,1,4,0,0,1
31,1,0,0,0,0,0
32,1,0,0,0,0,0
33,1,0,0,0,0,0
34,1,0,0,0,0,1
35,1,1,0,0,0,0
36,1,0,0,0,0,0
37,1,0,0,0,0,0
38,3,0,0,0,0,0
39,2,0,1,0,0,1
40,1,0,0,0,0,0
41,1,1,1,0,0,0
42,1,0,0,0,0,0
43,1,0,0,0,0,0
44,2,0,0,0,0,1
45,1,0,0,0,0,0
46,1,0,0,0,0,0
47,1,0,0,0,0,0
48,3,0,0,0,0,0
49,1,0,0,0,0,0
50,2,1,0,0,0,0
51,1,0,0,0,0,1
52,1,0,0,0,0,0
53,1,0,0,0,0,0
54,1,1,0,0,0,0
55,1,0,0,0,0,0
56,1,1,0,0,0,0
57,1,0,0,0,0,0
58,2,0,0,0,0,4
59,1,0,0,0,0,0
60,1,0,0,0,0,0
61,2,1,1,0,0,0
62,2,0,0,0,0,51
63,1,0,0,0,0,0
64,1,0,0,0,0,0
65,2,0,0,0,0,0
66,1,0,0,0,0,0
67,1,0,1,0,0,2
68,1,0,0,0,0,0
69,1,2,1,0,0,4
70,1,0,0,0,0,0
71,6,0,1,0,0,0
72,1,0,0,0,0,0
73,1,1,0,0,0,0
74,1,1,0,0,0,0
75,1,0,1,0,0,0
76,1,1,0,0,0,7
77,1,0,0,0,0,0
78,1,1,5,0,0,105
79,1,0,1,0,0,93
80,1,0,0,0,0,0
81,1,0,0,0,0,1
82,1,0,0,0,0,0
83,1,1,3,0,0,43
84,1,0,0,0,0,0
85,1,0,0,0,0,0
86,1,0,0,0,0,0
87,1,0,0,0,0,0
88,1,0,0,0,0,2
89,0,1,0,0,0,53
90,0,1,4,0,0,26
91,0,0,1,0,0,15
92,0,0,1,0,0,1
93,0,1,1,0,0,0
94,0,0,1,0,0,4
95,0,0,2,0,0,1
96,0,0,1,0,0,1
97,0,0,1,0,0,1
98,0,1,1,0,0,0
99,0,1,1,0,0,0
100,0,1,2,0,0,0
101,0,0,2,0,0,4
102,0,0,2,0,0,7
103,0,0,1,0,0,1
104,0,2,2,0,0,7
105,0,1,1,0,0,2
106,0,0,1,0,0,1
107,0,1,1,0,0,1
108,0,1,1,0,0,0
109,0,0,0,0,0,140
110,0,0,0,0,0,78
111,0,0,0,0,0,69
112,0,0,0,0,0,4
113,0,0,0,0,0,1
114,0,0,0,0,0,8
115,0,0,0,0,0,3
116,0,0,0,0,0,1
117,0,0,0,0,0,25
118,0,0,0,0,0,13
119,0,0,0,0,0,25
120,0,0,0,0,0,18
121,0,0,0,0,0,12
122,0,0,0,0,0,17
123,0,0,0,0,0,3
124,0,0,0,0,0,8
125,0,0,0,0,0,73
126,0,0,0,0,0,305
127,0,0,0,0,0,3
128,0,0,0,0,0,31
129,0,0,0,0,0,5
130,0,0,0,0,0,1
131,0,0,0,0,0,56
132,0,0,0,0,0,2
133,0,0,0,0,0,11
134,0,0,0,0,0,7
135,0,0,0,0,0,1
136,0,0,0,0,0,9
137,0,0,0,0,0,1
138,0,0,0,0,0,7
139,0,0,0,0,0,5
140,0,0,0,0,0,628
141,0,0,0,0,0,2
142,0,0,0,0,0,1
143,0,0,0,0,0,3
144,0,0,0,0,0,2
145,0,0,0,0,0,1
146,0,0,0,0,0,7
147,0,0,0,0,0,3
148,0,0,0,0,0,1
149,0,0,0,0,0,10
150,0,0,0,0,0,1
151,0,0,0,0,0,1
152,0,0,0,0,0,2
153,0,0,0,0,0,20
154,0,0,0,0,0,15
155,0,0,0,0,0,133
156,0,0,0,0,0,4
157,0,0,0,0,0,1
158,0,0,0,0,0,1
159,0,0,0,0,0,32
160,0,0,0,0,0,21
161,0,0,0,0,0,1
162,0,0,0,0,0,1
163,0,0,0,0,0,2
164,0,0,0,0,0,99
165,0,0,0,0,0,1
166,0,0,0,0,0,5
167,0,0,0,0,0,1
168,0,0,0,0,0,50
169,0,0,0,0,0,1
170,0,0,0,0,0,1
171,0,0,0,0,0,1
172,0,0,0,0,0,9
173,0,0,0,0,0,4
174,0,0,0,0,0,319
175,0,0,0,0,0,1
176,0,0,0,0,0,1
177,0,0,0,0,0,1
178,0,0,0,0,0,3
179,0,0,0,0,0,2
180,0,0,0,0,0,1
181,0,0,0,0,0,2
182,0,0,0,0,0,3
183,0,0,0,0,0,55
184,0,0,0,0,0,1
185,0,0,0,0,0,3
186,0,0,0,0,0,1
187,0,0,0,0,0,1
188,0,0,0,0,0,1
189,0,0,0,0,0,187
190,0,0,0,0,0,1
191,0,0,0,0,0,1
192,0,0,0,0,0,1
193,0,0,0,0,0,1
194,0,0,0,0,0,8
195,0,0,0,0,0,7
196,0,0,0,0,0,2
197,0,0,0,0,0,2
198,0,0,0,0,0,1
199,0,0,0,0,0,9
200,0,0,0,0,0,2
201,0,0,0,0,0,3
202,0,0,0,0,0,858
203,0,0,0,0,0,2
204,0,0,0,0,0,3
205,0,0,0,0,0,1
206,0,0,0,0,0,19
207,0,0,0,0,0,3
208,0,0,0,0,0,1
209,0,0,0,0,0,206
210,0,0,0,0,0,3
211,0,0,0,0,0,53
212,0,0,0,0,0,1
213,0,0,0,0,0,3
214,0,0,0,0,0,1
215,0,0,0,0,0,226
216,0,0,0,0,0,1
217,0,0,0,0,0,3
218,0,0,0,0,0,381
219,0,0,0,0,0,1
220,0,0,0,0,0,5
221,0,0,0,0,0,5
222,0,0,0,0,0,316
223,0,0,0,0,0,3
224,0,0,0,0,0,2
225,0,0,0,0,0,392
226,0,0,0,0,0,7
227,0,0,0,0,0,8
228,0,0,0,0,0,65
229,0,0,0,0,0,202
230,0,0,0,0,0,28
231,0,0,0,0,0,6
232,0,0,0,0,0,67
233,0,0,0,0,0,4
234,0,0,0,0,0,24
235,0,0,0,0,0,7
236,0,0,0,0,0,1
237,0,0,0,0,0,57
238,0,0,0,0,0,1
239,0,0,0,0,0,2
240,0,0,0,0,0,9
241,0,0,0,0,0,45
242,0,0,0,0,0,27
243,0,0,0,0,0,1
244,0,0,0,0,0,20
245,0,0,0,0,0,1
246,0,0,0,0,0,6
247,0,0,0,0,0,145
248,0,0,0,0,0,24
249,0,0,0,0,0,2
250,0,0,0,0,0,14
251,0,0,0,0,0,1
252,0,0,0,0,0,1
253,0,0,0,0,0,67
254,0,0,0,0,0,11
255,0,0,0,0,0,2
256,0,0,0,0,0,49
257,0,0,0,0,0,1
258,0,0,0,0,0,4
259,0,0,0,0,0,4
260,0,0,0,0,0,100
261,0,0,0,0,0,13
262,0,0,0,0,0,1
263,0,0,0,0,0,1
264,0,0,0,0,0,1
265,0,0,0,0,0,3
266,0,0,0,0,0,2
267,0,0,0,0,0,4
268,0,0,0,0,0,60
269,0,0,0,0,0,18
270,0,0,0,0,0,59
271,0,0,0,0,0,10
272,0,0,0,0,0,1
273,0,0,0,0,0,1
274,0,0,0,0,0,2
275,0,0,0,0,0,3
276,0,0,0,0,0,3
277,0,0,0,0,0,4
278,0,0,0,0,0,2
279,0,0,0,0,0,1
280,0,0,0,0,0,1
281,0,0,0,0,0,3
282,0,0,0,0,0,39
283,0,0,0,0,0,1
284,0,0,0,0,0,1
285,0,0,0,0,0,2
286,0,0,0,0,0,21
287,0,0,0,0,0,1
288,0,0,0,0,0,6
289,0,0,0,0,0,1
290,0,0,0,0,0,6
291,0,0,0,0,0,76
292,0,0,0,0,0,1
293,0,0,0,0,0,5
294,0,0,0,0,0,3
295,0,0,0,0,0,2
296,0,0,0,0,0,1
297,0,0,0,0,0,41
298,0,0,0,0,0,2
299,0,0,0,0,0,5
300,0,0,0,0,0,22
301,0,0,0,0,0,1
302,0,0,0,0,0,4
303,0,0,0,0,0,1
304,0,0,0,0,0,3
305,0,0,0,0,0,10
306,0,0,0,0,0,1
307,0,0,0,0,0,1
308,0,0,0,0,0,3
309,0,0,0,0,0,12
310,0,0,0,0,0,1
311,0,0,0,0,0,6
312,0,0,0,0,0,1
313,0,0,0,0,0,5
314,0,0,0,0,0,2
315,0,0,0,0,0,5
316,0,0,0,0,0,4
317,0,0,0,0,0,7
318,0,0,0,0,0,4
319,0,0,0,0,0,49
320,0,0,0,0,0,8
321,0,0,0,0,0,7
322,0,0,0,0,0,2
323,0,0,0,0,0,1
