developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,77,63,0,0,0,83
1,36,90,0,0,0,1084
2,72,168,0,0,0,2390
3,3,1,0,0,0,0
4,355,441,0,0,0,2050
5,38,227,0,0,0,1768
6,15,4,0,0,0,58
7,0,5,0,0,0,313
8,2,0,0,0,0,10
9,41,34,0,0,0,860
10,4,0,0,0,0,87
11,2,0,0,0,0,0
12,12,14,0,0,0,580
13,2,0,0,0,0,17
14,7,2,0,0,0,38
15,83,94,0,0,0,779
16,71,141,0,0,0,1262
17,1,0,0,0,0,0
18,4,1,0,0,0,27
19,11,1,0,0,0,7
20,1,0,0,0,0,1
21,5,0,0,0,0,5
22,5,0,0,0,0,0
23,14,1,0,0,0,45
24,3,0,0,0,0,3
25,1,1,0,0,0,34
26,4,0,0,0,0,14
27,8,11,0,0,0,82
28,39,15,0,0,0,346
29,1,0,0,0,0,0
30,1,0,0,0,0,0
31,2,1,0,0,0,4
32,1,0,0,0,0,0
33,4,1,0,0,0,0
34,3,0,0,0,0,0
35,43,13,0,0,0,775
36,2,0,0,0,0,2
37,1,0,0,0,0,0
38,2,0,0,0,0,4
39,2,1,0,0,0,0
40,11,1,0,0,0,10
41,3,2,0,0,0,1
42,18,8,0,0,0,234
43,6,2,0,0,0,142
44,2,2,0,0,0,0
45,2,0,0,0,0,3
46,5,0,0,0,0,0
47,1,1,0,0,0,0
48,2,0,0,0,0,3
49,1,0,0,0,0,1
50,1,0,0,0,0,22
51,1,0,0,0,0,0
52,1,0,0,0,0,0
53,2,0,0,0,0,0
54,1,0,0,0,0,7
55,1,0,0,0,0,0
56,7,0,0,0,0,30
57,3,0,0,0,0,1
58,23,12,0,0,0,233
59,5,1,0,0,0,21
60,1,0,0,0,0,0
61,34,44,0,0,0,936
62,1,0,0,0,0,0
63,3,1,0,0,0,6
64,18,4,0,0,0,39
65,1,0,0,0,0,0
66,3,0,0,0,0,0
67,10,1,0,0,0,186
68,3,1,0,0,0,103
69,4,1,0,0,0,0
70,1,0,0,0,0,0
71,2,0,0,0,0,0
72,2,2,0,0,0,0
73,2,0,0,0,0,0
74,1,0,0,0,0,2
75,2,1,0,0,0,0
76,1,0,0,0,0,5
77,1,0,0,0,0,0
78,2,0,0,0,0,1
79,1,0,0,0,0,0
80,2,2,0,0,0,0
81,1,0,0,0,0,0
82,1,0,0,0,0,1
83,0,20,0,0,0,771
84,4,2,0,0,0,210
85,1,0,0,0,0,0
86,1,0,0,0,0,0
87,1,1,0,0,0,0
88,3,1,0,0,0,0
89,2,0,0,0,0,1
90,1,0,0,0,0,0
91,3,0,0,0,0,5
92,3,0,0,0,0,0
93,3,0,0,0,0,4
94,0,5,0,0,0,165
95,1,0,0,0,0,1
96,3,1,0,0,0,0
97,1,0,0,0,0,0
98,1,0,0,0,0,1
99,2,0,0,0,0,21
100,1,0,0,0,0,0
101,1,0,0,0,0,0
102,1,0,0,0,0,1
103,1,0,0,0,0,0
104,1,0,0,0,0,85
105,2,0,0,0,0,0
106,5,2,0,0,0,34
107,1,0,0,0,0,0
108,1,0,0,0,0,1
109,3,1,0,0,0,30
110,1,0,0,0,0,0
111,1,1,0,0,0,0
112,1,0,0,0,0,0
113,0,2,0,0,0,109
114,46,29,0,0,0,362
115,6,3,0,0,0,0
116,1,0,0,0,0,0
117,1,1,0,0,0,0
118,1,0,0,0,0,0
119,9,2,0,0,0,0
120,4,0,0,0,0,0
121,3,0,0,0,0,1
122,1,0,0,0,0,9
123,1,0,0,0,0,0
124,1,0,0,0,0,0
125,1,0,0,0,0,1
126,1,0,0,0,0,0
127,18,5,0,0,0,72
128,2,0,0,0,0,0
129,1,0,0,0,0,0
130,1,0,0,0,0,17
131,1,0,0,0,0,0
132,7,0,0,0,0,7
133,3,0,0,0,0,17
134,1,0,0,0,0,0
135,2,0,0,0,0,0
136,1,0,0,0,0,0
137,2,0,0,0,0,3
138,1,0,0,0,0,0
139,1,0,0,0,0,0
140,1,0,0,0,0,0
141,1,0,0,0,0,0
142,31,8,0,0,0,18
143,1,0,0,0,0,0
144,0,2,0,0,0,84
145,1,1,0,0,0,0
146,1,0,0,0,0,0
147,1,0,0,0,0,0
148,4,0,0,0,0,32
149,6,0,0,0,0,37
150,2,0,0,0,0,2
151,1,1,0,0,0,0
152,0,5,0,0,0,134
153,4,1,0,0,0,9
154,1,0,0,0,0,0
155,1,0,0,0,0,0
156,1,0,0,0,0,0
157,1,0,0,0,0,0
158,1,0,0,0,0,0
159,1,0,0,0,0,0
160,1,0,0,0,0,2
161,2,0,0,0,0,3
162,2,0,0,0,0,1
163,1,0,0,0,0,1
164,3,1,0,0,0,12
165,1,0,0,0,0,95
166,2,2,0,0,0,0
167,1,0,0,0,0,0
168,1,0,0,0,0,0
169,1,0,0,0,0,0
170,1,0,0,0,0,0
171,1,0,0,0,0,0
172,2,0,0,0,0,0
173,1,0,0,0,0,0
174,1,0,0,0,0,0
175,15,4,0,0,0,11
176,5,1,0,0,0,4
177,2,0,0,0,0,0
178,1,0,0,0,0,2
179,1,0,0,0,0,0
180,1,0,0,0,0,0
181,2,0,0,0,0,0
182,1,0,0,0,0,0
183,1,0,0,0,0,0
184,3,3,0,0,0,0
185,1,0,0,0,0,0
186,2,0,0,0,0,0
187,4,1,0,0,0,7
188,1,0,0,0,0,0
189,1,1,0,0,0,0
190,1,1,0,0,0,0
191,2,0,0,0,0,2
192,12,5,0,0,0,12
193,2,0,0,0,0,0
194,1,0,0,0,0,0
195,1,0,0,0,0,2
196,1,0,0,0,0,1
197,1,0,0,0,0,1
198,2,0,0,0,0,4
199,13,3,0,0,0,109
200,1,0,0,0,0,0
201,4,1,0,0,0,2
202,1,0,0,0,0,0
203,1,1,0,0,0,11
204,5,0,0,0,0,0
205,0,1,0,0,0,308
206,0,1,0,0,0,247
207,1,0,0,0,0,0
208,1,1,0,0,0,1
209,2,0,0,0,0,0
210,1,0,0,0,0,0
211,1,0,0,0,0,0
212,1,0,0,0,0,0
213,1,0,0,0,0,0
214,1,0,0,0,0,0
215,2,0,0,0,0,0
216,1,0,0,0,0,0
217,1,0,0,0,0,5
218,1,0,0,0,0,0
219,1,0,0,0,0,0
220,1,0,0,0,0,1
221,1,0,0,0,0,0
222,1,0,0,0,0,3
223,1,0,0,0,0,0
224,1,0,0,0,0,0
225,1,0,0,0,0,0
226,1,0,0,0,0,0
227,2,1,0,0,0,7
228,1,0,0,0,0,2
229,1,0,0,0,0,0
230,1,0,0,0,0,1
231,0,1,0,0,0,24
232,1,0,0,0,0,0
233,2,1,0,0,0,3
234,1,0,0,0,0,0
235,8,1,0,0,0,17
236,1,0,0,0,0,4
237,3,0,0,0,0,19
238,3,0,0,0,0,10
239,5,2,0,0,0,4
240,1,0,0,0,0,0
241,3,1,0,0,0,20
242,1,0,0,0,0,0
243,2,0,0,0,0,0
244,1,1,0,0,0,0
245,2,1,0,0,0,5
246,1,0,0,0,0,7
247,1,0,0,0,0,0
248,0,1,0,0,0,550
249,2,1,0,0,0,3
250,1,0,0,0,0,0
251,2,0,0,0,0,3
252,2,0,0,0,0,5
253,1,0,0,0,0,0
254,1,1,0,0,0,0
255,2,0,0,0,0,23
256,1,0,0,0,0,0
257,1,0,0,0,0,1
258,1,0,0,0,0,1
259,1,0,0,0,0,0
260,4,0,0,0,0,18
261,1,0,0,0,0,0
262,1,0,0,0,0,0
263,3,0,0,0,0,6
264,5,1,0,0,0,0
265,2,1,0,0,0,2
266,1,0,0,0,0,1
267,1,0,0,0,0,0
268,1,0,0,0,0,0
269,1,0,0,0,0,0
270,1,0,0,0,0,0
271,1,1,0,0,0,0
272,1,0,0,0,0,0
273,2,0,0,0,0,6
274,1,0,0,0,0,10
275,1,0,0,0,0,0
276,2,0,0,0,0,0
277,1,0,0,0,0,0
278,4,1,0,0,0,0
279,3,1,0,0,0,4
280,2,0,0,0,0,31
