developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,69,32,1,0,1,135
1,3,3,3,0,1,14
2,3,1,1,0,0,0
3,622,761,0,0,0,2870
4,4,0,0,0,0,1
5,2065,1741,0,0,0,3513
6,491,907,0,0,0,1836
7,2,0,0,0,0,109
8,1,0,0,0,0,0
9,2,2,0,0,0,0
10,33,13,0,0,0,145
11,2,0,0,0,0,0
12,1,0,0,0,0,0
13,1,0,0,0,0,0
14,18,12,0,0,0,108
15,1,0,0,0,0,0
16,1,0,0,0,0,0
17,20,1,0,0,0,21
18,1,0,0,0,0,0
19,1,0,0,0,0,0
20,1,0,0,0,0,2
21,1,0,0,0,0,0
22,3,0,0,0,0,0
23,9,1,0,0,0,1
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,12,1,0,0,0,205
27,3,0,0,0,0,8
28,1,0,0,0,0,1
29,1,0,0,0,0,0
30,1,0,0,0,0,0
31,18,0,0,0,0,0
32,1,1,0,0,0,0
33,1,0,0,0,0,1
34,1,0,0,0,0,0
35,2,0,0,0,0,7
36,1,0,0,0,0,1
37,1,0,0,0,0,0
38,1,0,0,0,0,0
39,24,4,0,0,0,45
40,1,0,0,0,0,0
41,6,1,0,0,0,43
42,1,0,0,0,0,0
43,3,0,0,0,0,130
44,1,0,0,0,0,0
45,1,0,0,0,0,0
46,6,0,0,0,0,8
47,220,294,0,0,0,1425
48,8,3,0,0,0,18
49,1,0,0,0,0,0
50,180,95,0,0,0,1055
51,1,0,0,0,0,0
52,12,1,0,0,0,0
53,1,0,0,0,0,0
54,1,1,0,0,0,0
55,1,0,0,0,0,0
56,1,0,0,0,0,0
57,3,0,0,0,0,50
58,34,25,0,0,0,45
59,11,1,0,0,0,19
60,2,0,0,0,0,0
61,2,0,0,0,0,2
62,1,0,0,0,0,2
63,1,0,0,0,0,0
64,1,0,0,0,0,0
65,3,0,0,0,0,1
66,2,0,0,0,0,0
67,1,0,0,0,0,1
68,4,0,0,0,0,0
69,3,0,0,0,0,0
70,1,0,0,0,0,0
71,2,0,0,0,0,0
72,7,1,0,0,0,11
73,15,2,0,0,0,19
74,3,0,0,0,0,3
75,1,0,0,0,0,0
76,1,0,0,0,0,2
77,1,0,0,0,0,24
78,3,0,0,0,0,4
79,6,1,0,0,0,0
80,5,0,0,0,0,1
81,1,0,0,0,0,0
82,1,0,0,0,0,0
83,1,0,0,0,0,0
84,1,1,0,0,0,0
85,9,2,0,0,0,6
86,1,0,0,0,0,1
87,1,0,0,0,0,0
88,1,0,0,0,0,7
89,1,0,0,0,0,0
90,2,0,0,0,0,0
91,1,0,0,0,0,1
92,1,0,0,0,0,0
93,1,0,0,0,0,0
94,1,0,0,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,0
97,3,0,0,0,0,8
98,1,0,0,0,0,0
99,3,0,0,0,0,1
100,1,0,0,0,0,0
101,1,0,0,0,0,0
102,1,1,0,0,0,0
103,1,0,0,0,0,0
104,1,0,0,0,0,0
105,1,0,0,0,0,0
