developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,1,8,0,0,0,1154
1,0,3,0,0,0,193
2,1,0,0,0,0,0
3,6,1,0,0,0,0
4,0,3,0,0,0,452
5,1,1,0,0,0,15
6,1,0,0,0,0,1
7,1,0,0,0,0,0
8,0,14,0,0,0,797
9,1,0,0,0,0,0
10,3,0,0,0,0,0
11,1,0,0,0,0,0
12,0,73,0,0,0,1039
13,1,0,0,0,0,0
14,1,0,0,0,0,0
15,1,0,0,0,0,0
16,1,0,0,0,0,11
17,0,2,0,0,0,365
18,1,0,0,0,0,0
19,2,0,0,0,0,0
20,0,2,0,0,0,51
21,1,0,0,0,0,0
22,1,0,0,0,0,0
23,0,1,0,0,0,19
24,1,0,0,0,0,0
25,1,0,0,0,0,0
26,1,0,0,0,0,0
27,1,0,0,0,0,0
28,3,1,0,0,0,0
29,2,0,0,0,0,0
30,3,0,0,0,0,0
31,1,0,0,0,0,0
32,2,0,0,0,0,0
33,1,0,0,0,0,1
34,1,0,0,0,0,0
35,0,3,0,0,0,9
36,1,0,0,0,0,1
37,1,0,0,0,0,0
38,2,2,1,0,0,0
39,2,0,0,0,0,0
40,1,0,0,0,0,2
41,1,0,0,0,0,0
42,1,0,0,0,0,0
43,1,1,0,0,0,0
44,1,1,0,0,0,0
45,2,0,0,0,0,0
46,1,0,0,0,0,0
47,0,7,0,0,0,79
48,1,0,0,0,0,0
49,2,2,0,0,0,5
50,1,0,0,0,0,9
51,1,0,0,0,0,0
52,5,2,0,0,0,0
53,2,0,0,0,0,0
54,5,0,0,0,0,0
55,1,0,0,0,0,0
56,2,5,0,0,0,99
57,1,0,0,0,0,0
58,1,0,0,0,0,0
59,1,1,0,0,0,0
60,1,1,0,0,0,0
61,1,1,0,0,0,0
62,1,0,0,0,0,0
63,1,0,0,0,0,0
64,2,1,0,0,0,0
65,1,0,0,0,0,0
66,1,1,0,0,0,0
67,1,1,0,0,0,0
68,1,1,1,0,0,0
69,1,1,0,0,0,0
70,1,1,0,0,0,0
71,1,0,0,0,0,0
72,1,1,0,0,0,0
73,1,0,0,0,0,0
74,1,1,1,0,0,0
75,1,0,0,0,0,0
76,1,1,0,0,0,0
77,1,0,0,0,0,0
78,2,2,0,0,0,0
79,1,0,0,0,0,4
80,1,0,0,0,0,0
81,1,0,0,0,0,0
82,1,0,0,0,0,0
83,1,0,0,0,0,0
84,1,1,0,0,0,1
85,1,0,0,0,0,0
86,1,0,0,0,0,0
87,1,1,0,0,0,0
88,4,1,0,0,0,16
89,2,0,0,0,0,0
90,1,0,0,0,0,0
91,1,0,0,0,0,0
92,1,0,0,0,0,0
93,1,0,0,0,0,0
94,1,0,0,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,0
97,1,0,0,0,0,0
98,1,0,0,0,0,0
99,1,0,0,0,0,0
100,1,0,0,0,0,0
101,1,0,0,0,0,0
102,1,0,0,0,0,0
103,0,2,0,0,0,271
104,1,1,0,0,0,0
105,1,0,0,0,0,0
106,1,0,0,0,0,0
107,1,0,0,0,0,0
108,1,0,0,0,0,0
109,1,1,0,0,0,0
