developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,2,1,2,0,0,1
1,1,105,113,0,190,323
2,3,0,0,0,0,0
3,1,0,0,0,0,0
4,0,3,1,0,2,1
5,1,0,0,0,0,0
6,1,0,0,0,0,0
7,2,0,0,0,0,0
8,2,0,0,0,0,0
9,1,1,0,0,0,0
10,1,0,0,0,0,0
11,0,50,135,0,80,286
12,2,0,0,0,0,0
13,5,4,3,0,0,3
14,1,0,0,0,0,0
15,1,0,0,0,0,0
16,1,0,0,0,0,0
17,1,1,0,0,0,0
18,5,1,0,0,0,0
19,1,0,0,0,0,0
20,1,0,0,0,0,0
21,1,0,0,0,0,0
22,2,0,0,0,0,0
23,7,4,0,0,0,0
24,2,0,0,0,0,0
25,1,0,0,0,0,0
26,0,36,29,0,38,135
27,1,0,0,0,0,0
28,4,1,2,0,0,0
29,15,5,2,0,0,0
30,1,0,0,0,0,0
31,8,4,0,0,0,0
32,1,1,0,0,0,0
33,5,3,2,0,0,0
34,2,0,0,0,0,0
35,1,0,0,0,0,0
36,2,21,11,0,2,139
37,1,0,0,0,0,0
38,4,4,2,0,0,1
39,1,0,0,0,0,0
40,1,0,0,0,0,0
41,1,1,0,0,0,0
42,4,0,0,0,0,0
43,1,0,0,0,0,0
44,2,0,1,0,0,0
45,1,1,0,0,0,0
46,1,0,0,0,0,0
47,1,0,0,0,0,0
48,2,0,0,0,0,0
49,2,1,0,0,0,0
50,2,0,0,0,0,0
51,1,0,0,0,0,0
52,1,0,0,0,0,0
53,1,0,0,0,0,0
54,14,8,0,0,0,0
55,1,0,0,0,0,0
56,6,4,1,0,0,0
57,2,1,1,0,0,0
58,2,0,0,0,0,0
59,4,4,2,0,0,0
60,1,1,0,0,0,0
61,5,0,0,0,0,0
62,3,1,0,0,0,0
63,4,1,0,0,0,0
64,1,0,0,0,0,0
65,0,78,44,0,32,71
66,1,0,0,0,0,0
67,2,2,0,0,0,0
68,1,0,0,0,0,2
69,1,0,0,0,0,0
70,4,2,0,0,0,0
71,3,0,0,0,0,0
72,1,1,0,0,0,0
73,2,1,0,0,0,0
74,1,0,0,0,0,0
75,1,0,0,0,0,0
76,1,0,0,0,0,0
77,1,0,0,0,0,0
78,1,1,0,0,0,0
79,2,2,1,0,0,0
80,1,0,0,0,0,0
81,4,1,0,0,0,0
82,1,0,0,0,0,0
83,4,2,0,0,0,0
84,1,1,0,0,0,0
85,2,1,0,0,0,0
86,1,0,1,0,0,0
87,1,0,0,0,0,0
88,2,2,1,0,0,0
89,1,1,0,0,0,0
90,0,38,14,0,21,57
91,1,0,0,0,0,0
92,1,2,2,0,0,0
93,2,2,0,0,0,0
94,2,0,0,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,0
97,1,1,0,0,0,0
98,1,0,0,0,0,0
99,1,0,0,0,0,0
100,1,0,0,0,0,0
101,2,1,0,0,0,0
102,3,0,0,0,0,0
103,1,0,0,0,0,0
104,1,0,0,0,0,0
105,2,1,0,0,0,0
106,2,0,0,0,0,0
107,2,1,0,0,0,0
108,1,0,0,0,0,0
109,2,0,0,0,0,0
110,1,0,0,0,0,0
111,1,1,0,0,0,0
112,3,1,0,0,0,0
113,2,1,0,0,0,0
114,2,2,0,0,0,0
115,1,1,0,0,0,0
116,2,1,0,0,0,0
117,2,0,0,0,0,0
118,3,1,0,0,0,0
119,11,1,0,0,0,0
120,6,4,0,0,0,0
121,2,0,0,0,0,0
122,1,0,0,0,0,0
123,1,0,0,0,0,0
124,1,0,0,0,0,0
125,1,0,0,0,0,0
126,4,2,6,0,3,26
127,1,0,0,0,0,0
128,1,0,0,0,0,0
129,6,0,0,0,0,0
130,1,1,0,0,0,0
131,1,0,0,0,0,0
132,1,0,1,0,0,7
133,8,0,0,0,0,0
134,1,0,0,0,0,0
135,3,3,4,0,0,3
136,1,1,0,0,0,0
137,5,1,0,0,0,0
138,2,0,0,0,0,0
139,3,2,0,0,0,0
140,2,0,0,0,0,0
141,4,0,0,0,0,0
142,1,1,0,0,0,0
143,1,0,0,0,0,0
144,3,2,0,0,0,0
145,2,1,0,0,0,0
146,1,0,0,0,0,0
147,1,0,0,0,0,0
148,2,0,0,0,0,0
149,1,0,0,0,0,0
150,2,0,0,0,0,0
151,2,0,0,0,0,0
152,2,3,3,0,0,2
153,1,0,0,0,0,0
154,1,0,0,0,0,0
155,2,0,0,0,0,0
156,0,10,0,0,0,65
157,1,1,0,0,0,0
158,2,0,0,0,0,0
159,1,0,0,0,0,0
160,1,0,0,0,0,0
161,1,0,0,0,0,0
162,1,0,0,0,0,0
163,1,0,0,0,0,0
164,1,1,0,0,0,0
165,1,0,0,0,0,0
166,1,1,0,0,0,1
167,1,0,1,0,0,1
168,4,2,0,0,0,0
169,1,1,0,0,0,0
170,4,1,0,0,0,0
171,2,0,0,0,0,0
172,1,1,0,0,0,0
173,1,0,0,0,0,0
174,2,0,0,0,0,0
175,1,0,0,0,0,0
176,2,1,1,0,0,1
177,6,0,0,0,0,0
178,1,0,0,0,0,0
179,2,0,0,0,0,0
180,1,0,0,0,0,0
181,1,0,0,0,0,0
182,1,0,0,0,0,0
183,2,0,0,0,0,0
184,1,1,0,0,0,0
185,1,1,0,0,0,0
186,1,0,0,0,0,0
187,1,0,0,0,0,0
188,1,0,0,0,0,0
189,1,0,0,0,0,0
190,1,0,0,0,0,0
191,1,0,0,0,0,0
192,1,1,0,0,0,0
193,1,0,0,0,0,0
194,1,0,0,0,0,0
195,1,0,0,0,0,0
196,2,1,0,0,0,0
197,1,0,0,0,0,0
198,1,0,0,0,0,0
199,1,0,0,0,0,0
200,5,1,0,0,0,0
201,1,0,0,0,0,0
202,1,0,0,0,0,0
203,1,0,0,0,0,0
204,3,0,0,0,0,0
205,2,1,0,0,0,0
206,1,0,0,0,0,0
207,1,3,3,0,0,2
208,6,2,0,0,0,0
209,1,0,0,0,0,0
210,2,2,0,0,0,0
211,1,0,0,0,0,0
212,1,1,0,0,0,0
213,1,0,0,0,0,0
214,1,0,0,0,0,0
215,1,0,0,0,0,0
216,1,1,0,0,0,0
217,1,1,0,0,0,0
218,1,1,0,0,0,0
219,2,0,0,0,0,0
220,1,0,0,0,0,0
221,1,1,1,0,0,1
222,1,1,0,0,0,0
223,1,0,0,0,0,0
224,1,0,0,0,0,0
225,2,1,0,0,0,0
226,1,0,0,0,0,0
227,1,0,0,0,0,0
228,1,0,0,0,0,0
229,1,0,0,0,0,0
230,1,0,0,0,0,0
231,1,1,0,0,0,0
232,1,0,0,0,0,0
233,1,0,0,0,0,0
234,1,0,1,0,0,1
235,1,0,0,0,0,0
236,0,0,2,0,0,2
237,0,0,1,0,0,1
238,0,0,3,0,0,3
239,0,0,1,0,0,1
240,0,0,1,0,0,1
241,0,0,1,0,0,1
242,0,0,1,0,0,0
243,0,0,1,0,0,1
244,0,0,1,0,0,0
245,0,0,1,0,0,0
246,0,1,1,0,0,0
247,0,0,1,0,0,0
248,0,0,2,0,0,0
249,0,0,1,0,0,0
250,0,1,1,0,0,0
251,0,0,1,0,0,10
252,0,2,2,0,0,0
253,0,1,1,0,0,0
254,0,0,1,0,0,1
255,0,1,1,0,0,0
256,0,0,1,0,0,1
257,0,2,22,0,15,110
258,0,1,1,0,0,0
259,0,2,2,0,0,0
260,0,0,1,0,0,1
261,0,0,1,0,0,1
262,0,0,0,0,0,337
263,0,0,0,0,0,1
264,0,0,0,0,0,1
265,0,0,0,0,0,1
266,0,0,0,0,0,1
267,0,0,0,0,0,37
268,0,0,0,0,0,44
269,0,0,0,0,0,1
270,0,0,0,0,0,1
271,0,0,0,0,0,2
272,0,0,0,0,0,1
273,0,0,0,0,0,8
274,0,0,0,0,0,1
275,0,0,0,0,0,1
276,0,0,0,0,0,1
277,0,0,0,0,0,1
278,0,0,0,0,0,1
279,0,0,0,0,0,7
280,0,0,0,0,0,3
281,0,0,0,0,0,1
282,0,0,0,0,0,2
283,0,0,0,0,0,3
284,0,0,0,0,0,274
285,0,0,0,0,0,1
286,0,0,0,0,0,15
287,0,0,0,0,0,2
288,0,0,0,0,0,1
289,0,0,0,0,0,2
290,0,0,0,0,0,1
291,0,0,0,0,0,1
292,0,0,0,0,0,2
293,0,0,0,0,0,2
294,0,0,0,0,0,2
295,0,0,0,0,0,1
296,0,0,0,0,0,1
297,0,0,0,0,0,18
298,0,0,0,0,0,1
299,0,0,0,0,0,1
300,0,0,0,0,0,32
301,0,0,0,0,0,2
302,0,0,0,0,0,1
303,0,0,0,0,0,2
304,0,0,0,0,0,11
305,0,0,0,0,0,656
306,0,0,0,0,0,1
307,0,0,0,0,0,1
308,0,0,0,0,0,1
309,0,0,0,0,0,1
310,0,0,0,0,0,1
311,0,0,0,0,0,9
312,0,0,0,0,0,175
313,0,0,0,0,0,2
314,0,0,0,0,0,1
315,0,0,0,0,0,13
316,0,0,0,0,0,1
317,0,0,0,0,0,72
318,0,0,0,0,0,5
319,0,0,0,0,0,2
320,0,0,0,0,0,3
321,0,0,0,0,0,1
322,0,0,0,0,0,54
323,0,0,0,0,0,9
324,0,0,0,0,0,92
325,0,0,0,0,0,19
326,0,0,0,0,0,1
327,0,0,0,0,0,3
328,0,0,0,0,0,1
329,0,0,0,0,0,1
330,0,0,0,0,0,1
331,0,0,0,0,0,3
332,0,0,0,0,0,1
333,0,0,0,0,0,18
334,0,0,0,0,0,1
335,0,0,0,0,0,2
336,0,0,0,0,0,1
337,0,0,0,0,0,1
338,0,0,0,0,0,3
339,0,0,0,0,0,1
340,0,0,0,0,0,1
341,0,0,0,0,0,2
342,0,0,0,0,0,1
343,0,0,0,0,0,1
344,0,0,0,0,0,1
345,0,0,0,0,0,4
346,0,0,0,0,0,1
347,0,0,0,0,0,1
348,0,0,0,0,0,1
349,0,0,0,0,0,1
350,0,0,0,0,0,23
351,0,0,0,0,0,10
352,0,0,0,0,0,1
353,0,0,0,0,0,1
354,0,0,0,0,0,5
355,0,0,0,0,0,1
356,0,0,0,0,0,1
357,0,0,0,0,0,1
358,0,0,0,0,0,1
359,0,0,0,0,0,1
360,0,0,0,0,0,6
361,0,0,0,0,0,1
362,0,0,0,0,0,1
363,0,0,0,0,0,6
364,0,0,0,0,0,1
365,0,0,0,0,0,1
366,0,0,0,0,0,1
367,0,0,0,0,0,7
368,0,0,0,0,0,1
369,0,0,0,0,0,1
370,0,0,0,0,0,3
