developer,issue_opened,issue_closed,pr_opened,pr_closed,pr_merged,commits
0,5,11,0,0,2,88
1,34,76,1,0,2,10500
2,13,19,0,0,0,410
3,6,51,2,0,6,1715
4,4,41,1,0,7,3930
5,3,29,2,0,5,8954
6,0,13,0,0,1,260
7,2,35,0,0,3,1121
8,3,5,0,0,0,45
9,2,0,0,0,0,4
10,2,7,1,0,0,1106
11,1,3,0,0,0,39
12,2,3,0,0,0,1
13,1,0,0,0,0,0
14,1,0,0,0,0,0
15,1,0,0,0,0,2
16,19,11,4,0,0,5431
17,1,0,0,0,0,0
18,1,3,0,0,0,3338
19,1,0,0,0,0,0
20,1,0,0,0,0,0
21,1,0,0,0,0,0
22,2,0,0,0,0,2
23,1,0,0,0,0,0
24,1,0,0,0,0,0
25,4,0,0,0,0,0
26,0,1,0,0,0,398
27,1,0,0,0,0,0
28,1,0,0,0,0,0
29,2,1,0,0,0,0
30,1,0,0,0,0,0
31,3,1,0,0,0,0
32,1,0,0,0,0,0
33,1,0,0,0,0,0
34,1,0,0,0,0,0
35,1,0,0,0,0,0
36,0,4,0,0,0,62
37,1,0,0,0,0,0
38,1,0,0,0,0,0
39,1,0,0,0,0,0
40,1,0,0,0,0,0
41,5,0,0,0,0,0
42,1,0,0,0,0,0
43,1,0,0,0,0,4
44,1,0,0,0,0,0
45,1,0,0,0,0,0
46,1,0,0,0,0,0
47,1,0,0,0,0,2
48,1,0,0,0,0,2
49,1,0,0,0,0,2
50,1,0,0,0,0,0
51,1,0,0,0,0,1
52,1,0,0,0,0,4
53,1,0,0,0,0,0
54,1,0,0,0,0,0
55,1,0,0,0,0,0
56,1,0,0,0,0,0
57,1,0,0,0,0,0
58,4,0,0,0,0,0
59,1,0,0,0,0,0
60,0,6,0,0,0,6519
61,1,0,0,0,0,0
62,1,0,0,0,0,0
63,5,0,0,0,0,0
64,1,0,0,0,0,0
65,1,1,0,0,0,0
66,1,0,0,0,0,0
67,1,0,0,0,0,0
68,1,0,0,0,0,0
69,1,0,0,0,0,0
70,1,0,0,0,0,0
71,1,1,0,0,0,0
72,1,0,0,0,0,0
73,1,0,0,0,0,0
74,4,1,0,0,0,0
75,1,0,0,0,0,0
76,1,0,0,0,0,0
77,1,1,0,0,0,0
78,1,0,0,0,0,0
79,1,0,0,0,0,0
80,1,0,0,0,0,0
81,1,0,0,0,0,0
82,1,0,0,0,0,0
83,1,0,0,0,0,0
84,2,0,0,0,0,0
85,3,1,0,0,0,0
86,1,0,0,0,0,0
87,1,0,0,0,0,0
88,1,0,0,0,0,0
89,1,0,0,0,0,0
90,1,0,0,0,0,0
91,2,0,0,0,0,0
92,1,0,0,0,0,0
93,1,0,0,0,0,0
94,1,0,0,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,0
97,1,0,0,0,0,0
98,1,0,0,0,0,0
99,1,0,0,0,0,0
100,1,0,0,0,0,0
101,1,0,0,0,0,0
102,1,0,0,0,0,0
103,1,0,0,0,0,0
104,1,1,0,0,0,0
105,1,0,0,0,0,0
106,1,0,0,0,0,0
107,2,0,0,0,0,0
108,1,1,0,0,0,0
109,1,0,0,0,0,0
110,1,0,0,0,0,0
111,1,0,0,0,0,0
112,1,0,0,0,0,0
113,1,0,0,0,0,0
114,1,0,0,0,0,0
115,1,0,0,0,0,0
116,1,0,0,0,0,0
117,1,0,0,0,0,0
118,1,0,0,0,0,0
119,2,0,0,0,0,0
120,0,2,0,0,0,8
121,1,0,0,0,0,0
122,1,0,0,0,0,0
123,1,0,0,0,0,0
124,1,0,0,0,0,0
125,1,0,0,0,0,0
126,1,0,0,0,0,0
127,5,0,0,0,0,0
128,1,0,0,0,0,0
129,1,0,0,0,0,0
130,1,0,0,0,0,0
131,0,2,0,0,0,1040
132,1,0,0,0,0,0
133,1,0,0,0,0,0
134,1,0,0,0,0,0
135,1,0,0,0,0,0
136,1,0,0,0,0,0
137,1,1,0,0,0,0
138,1,0,0,0,0,0
139,1,1,0,0,0,0
140,2,0,1,0,0,8
141,1,0,0,0,0,0
142,1,0,0,0,0,0
143,1,0,0,0,0,2
144,1,0,0,0,0,0
145,1,0,0,0,0,0
146,1,1,0,0,0,0
147,1,0,0,0,0,0
148,1,0,0,0,0,0
149,4,1,1,0,0,0
150,1,1,0,0,0,1283
151,1,0,0,0,0,0
152,1,0,0,0,0,0
153,1,0,0,0,0,0
154,2,0,0,0,0,0
155,1,0,0,0,0,0
156,4,2,3,0,0,310
157,2,0,0,0,0,0
158,1,0,0,0,0,0
159,1,0,0,0,0,0
160,1,0,0,0,0,0
161,1,0,0,0,0,0
162,1,0,0,0,0,0
163,1,0,0,0,0,0
164,1,0,0,0,0,0
165,1,1,0,0,0,0
166,3,0,0,0,0,0
167,1,0,0,0,0,0
168,1,0,0,0,0,0
169,1,0,0,0,0,0
170,1,0,1,0,0,1
171,1,0,0,0,0,0
172,1,0,0,0,0,0
173,1,0,0,0,0,0
174,1,0,0,0,0,0
175,1,0,0,0,0,0
176,1,0,0,0,0,0
177,1,0,0,0,0,0
178,1,0,0,0,0,0
179,1,0,0,0,0,0
180,1,0,0,0,0,0
181,1,0,0,0,0,0
182,1,0,0,0,0,0
183,1,0,0,0,0,0
184,1,0,0,0,0,0
185,1,0,0,0,0,0
186,1,0,0,0,0,0
187,1,0,0,0,0,0
188,1,0,0,0,0,0
189,1,0,0,0,0,0
190,1,1,0,0,0,0
191,1,0,0,0,0,0
192,1,0,0,0,0,0
193,2,0,0,0,0,0
194,1,0,0,0,0,0
195,1,0,0,0,0,0
196,1,0,0,0,0,0
197,1,0,0,0,0,0
198,1,0,0,0,0,0
199,1,0,0,0,0,4
200,1,0,0,0,0,0
201,1,0,0,0,0,0
202,1,0,0,0,0,0
203,2,0,0,0,0,0
204,1,1,0,0,0,0
205,1,0,0,0,0,0
206,1,0,0,0,0,1
207,1,0,0,0,0,0
208,1,1,0,0,0,0
209,1,0,1,0,0,1
210,2,0,0,0,0,0
211,1,0,0,0,0,0
212,3,0,0,0,0,0
213,1,1,0,0,0,0
214,1,0,0,0,0,0
215,1,0,0,0,0,0
216,1,0,0,0,0,0
217,1,1,0,0,0,0
218,1,0,0,0,0,0
219,1,0,0,0,0,0
220,1,0,0,0,0,0
221,1,0,0,0,0,0
222,1,0,0,0,0,1
223,1,0,0,0,0,4
224,1,0,0,0,0,0
225,1,1,0,0,0,0
226,0,1,1,0,0,0
227,0,0,1,0,0,318
228,0,0,1,0,0,0
229,0,0,1,0,0,1
230,0,0,1,0,0,1
231,0,0,1,0,0,1
232,0,0,3,0,0,3
233,0,0,1,0,0,2
234,0,1,1,0,0,0
235,0,0,1,0,0,0
236,0,0,1,0,0,1
237,0,1,1,0,0,0
238,0,1,1,0,0,0
239,0,1,1,0,0,13
240,0,3,3,0,0,0
241,0,0,1,0,0,1
242,0,0,1,0,0,1
243,0,0,0,0,0,6358
244,0,0,0,0,0,5279
245,0,0,0,0,0,5455
246,0,0,0,0,0,1
247,0,0,0,0,0,1
248,0,0,0,0,0,1
249,0,0,0,0,0,3
250,0,0,0,0,0,1
251,0,0,0,0,0,1
252,0,0,0,0,0,1
253,0,0,0,0,0,1
254,0,0,0,0,0,3
255,0,0,0,0,0,835
256,0,0,0,0,0,1
257,0,0,0,0,0,3
258,0,0,0,0,0,23
259,0,0,0,0,0,4
260,0,0,0,0,0,1
261,0,0,0,0,0,1
262,0,0,0,0,0,4
263,0,0,0,0,0,3
264,0,0,0,0,0,1
265,0,0,0,0,0,1
266,0,0,0,0,0,1
267,0,0,0,0,0,1
268,0,0,0,0,0,1
269,0,0,0,0,0,1
270,0,0,0,0,0,1
271,0,0,0,0,0,1
272,0,0,0,0,0,1
273,0,0,0,0,0,1
274,0,0,0,0,0,4
275,0,0,0,0,0,2
276,0,0,0,0,0,1
277,0,0,0,0,0,1
278,0,0,0,0,0,3
279,0,0,0,0,0,3
280,0,0,0,0,0,26
281,0,0,0,0,0,5
282,0,0,0,0,0,1
283,0,0,0,0,0,1
284,0,0,0,0,0,13
285,0,0,0,0,0,1
286,0,0,0,0,0,15
287,0,0,0,0,0,1
288,0,0,0,0,0,3
289,0,0,0,0,0,2
290,0,0,0,0,0,1
291,0,0,0,0,0,4
292,0,0,0,0,0,80
293,0,0,0,0,0,2
294,0,0,0,0,0,5
295,0,0,0,0,0,4
296,0,0,0,0,0,3
297,0,0,0,0,0,2
298,0,0,0,0,0,3
299,0,0,0,0,0,8
300,0,0,0,0,0,1
301,0,0,0,0,0,2
302,0,0,0,0,0,4
303,0,0,0,0,0,7
304,0,0,0,0,0,2
305,0,0,0,0,0,1
306,0,0,0,0,0,12
307,0,0,0,0,0,1
308,0,0,0,0,0,3
309,0,0,0,0,0,1
310,0,0,0,0,0,1
311,0,0,0,0,0,4
312,0,0,0,0,0,2
313,0,0,0,0,0,1
314,0,0,0,0,0,34
315,0,0,0,0,0,3
316,0,0,0,0,0,3
317,0,0,0,0,0,1
318,0,0,0,0,0,1
319,0,0,0,0,0,2
320,0,0,0,0,0,1
321,0,0,0,0,0,3
322,0,0,0,0,0,2765
323,0,0,0,0,0,1
324,0,0,0,0,0,4
325,0,0,0,0,0,1
326,0,0,0,0,0,2
327,0,0,0,0,0,2
328,0,0,0,0,0,2
329,0,0,0,0,0,1
330,0,0,0,0,0,1
331,0,0,0,0,0,1
332,0,0,0,0,0,1
333,0,0,0,0,0,6054
334,0,0,0,0,0,2
335,0,0,0,0,0,286
336,0,0,0,0,0,10
337,0,0,0,0,0,1
338,0,0,0,0,0,8
339,0,0,0,0,0,4
340,0,0,0,0,0,3
341,0,0,0,0,0,1
342,0,0,0,0,0,1
343,0,0,0,0,0,5
344,0,0,0,0,0,1
345,0,0,0,0,0,1
346,0,0,0,0,0,1
347,0,0,0,0,0,2
348,0,0,0,0,0,1
349,0,0,0,0,0,16
350,0,0,0,0,0,1
351,0,0,0,0,0,1
352,0,0,0,0,0,1
353,0,0,0,0,0,1
354,0,0,0,0,0,76
355,0,0,0,0,0,2
356,0,0,0,0,0,11
357,0,0,0,0,0,1
358,0,0,0,0,0,1
359,0,0,0,0,0,9
360,0,0,0,0,0,5
361,0,0,0,0,0,1
362,0,0,0,0,0,386
363,0,0,0,0,0,1
364,0,0,0,0,0,6
365,0,0,0,0,0,1
366,0,0,0,0,0,2
367,0,0,0,0,0,1
368,0,0,0,0,0,24
369,0,0,0,0,0,7
370,0,0,0,0,0,1
371,0,0,0,0,0,3
372,0,0,0,0,0,4
373,0,0,0,0,0,2
374,0,0,0,0,0,1
375,0,0,0,0,0,1
376,0,0,0,0,0,4
377,0,0,0,0,0,1
378,0,0,0,0,0,1
379,0,0,0,0,0,1
380,0,0,0,0,0,2
381,0,0,0,0,0,3
382,0,0,0,0,0,2
383,0,0,0,0,0,1
384,0,0,0,0,0,1
385,0,0,0,0,0,2
386,0,0,0,0,0,3
387,0,0,0,0,0,3
388,0,0,0,0,0,67
389,0,0,0,0,0,1
390,0,0,0,0,0,1
391,0,0,0,0,0,1
392,0,0,0,0,0,590
393,0,0,0,0,0,4
394,0,0,0,0,0,2
395,0,0,0,0,0,11
396,0,0,0,0,0,8
397,0,0,0,0,0,2
398,0,0,0,0,0,1
399,0,0,0,0,0,2
400,0,0,0,0,0,1
401,0,0,0,0,0,23
402,0,0,0,0,0,97
403,0,0,0,0,0,1
404,0,0,0,0,0,1
405,0,0,0,0,0,1
406,0,0,0,0,0,5
407,0,0,0,0,0,1
408,0,0,0,0,0,1
409,0,0,0,0,0,1
410,0,0,0,0,0,1
411,0,0,0,0,0,6
412,0,0,0,0,0,2
413,0,0,0,0,0,2
414,0,0,0,0,0,1
415,0,0,0,0,0,1
416,0,0,0,0,0,1
417,0,0,0,0,0,1
418,0,0,0,0,0,13
419,0,0,0,0,0,1
420,0,0,0,0,0,679
421,0,0,0,0,0,1
422,0,0,0,0,0,18
423,0,0,0,0,0,2
424,0,0,0,0,0,1
425,0,0,0,0,0,1
426,0,0,0,0,0,2
427,0,0,0,0,0,1
428,0,0,0,0,0,3
429,0,0,0,0,0,1
430,0,0,0,0,0,1
431,0,0,0,0,0,1
432,0,0,0,0,0,1
433,0,0,0,0,0,1
434,0,0,0,0,0,4
435,0,0,0,0,0,936
436,0,0,0,0,0,1
437,0,0,0,0,0,79
438,0,0,0,0,0,1
439,0,0,0,0,0,1
440,0,0,0,0,0,2
441,0,0,0,0,0,3
442,0,0,0,0,0,1
443,0,0,0,0,0,2
444,0,0,0,0,0,1
445,0,0,0,0,0,1
446,0,0,0,0,0,27
447,0,0,0,0,0,5
448,0,0,0,0,0,14
449,0,0,0,0,0,3
450,0,0,0,0,0,14
451,0,0,0,0,0,4
452,0,0,0,0,0,1
453,0,0,0,0,0,2
454,0,0,0,0,0,1
455,0,0,0,0,0,3
456,0,0,0,0,0,3
457,0,0,0,0,0,26
458,0,0,0,0,0,3
459,0,0,0,0,0,1
460,0,0,0,0,0,1
461,0,0,0,0,0,5
462,0,0,0,0,0,1
463,0,0,0,0,0,3
464,0,0,0,0,0,1
465,0,0,0,0,0,1
466,0,0,0,0,0,9
467,0,0,0,0,0,1
468,0,0,0,0,0,1
469,0,0,0,0,0,5
470,0,0,0,0,0,1
471,0,0,0,0,0,4
472,0,0,0,0,0,2
473,0,0,0,0,0,10
474,0,0,0,0,0,1
475,0,0,0,0,0,1
476,0,0,0,0,0,1
477,0,0,0,0,0,2
478,0,0,0,0,0,6
479,0,0,0,0,0,7
480,0,0,0,0,0,313
481,0,0,0,0,0,1
482,0,0,0,0,0,17
483,0,0,0,0,0,1
484,0,0,0,0,0,2
485,0,0,0,0,0,1
486,0,0,0,0,0,4
487,0,0,0,0,0,1
488,0,0,0,0,0,1
489,0,0,0,0,0,1
490,0,0,0,0,0,2
491,0,0,0,0,0,19
492,0,0,0,0,0,3
493,0,0,0,0,0,14
494,0,0,0,0,0,4
495,0,0,0,0,0,1
496,0,0,0,0,0,5
497,0,0,0,0,0,17
498,0,0,0,0,0,1
499,0,0,0,0,0,4
500,0,0,0,0,0,2
501,0,0,0,0,0,1
502,0,0,0,0,0,1
503,0,0,0,0,0,1
504,0,0,0,0,0,128
505,0,0,0,0,0,1
506,0,0,0,0,0,1
507,0,0,0,0,0,2
508,0,0,0,0,0,1
509,0,0,0,0,0,3
510,0,0,0,0,0,1
511,0,0,0,0,0,9
512,0,0,0,0,0,2
513,0,0,0,0,0,1
514,0,0,0,0,0,8
515,0,0,0,0,0,1
516,0,0,0,0,0,1
517,0,0,0,0,0,1
518,0,0,0,0,0,11
519,0,0,0,0,0,2
520,0,0,0,0,0,1
521,0,0,0,0,0,25
522,0,0,0,0,0,2
523,0,0,0,0,0,1
524,0,0,0,0,0,1
525,0,0,0,0,0,1
526,0,0,0,0,0,1
